Species,Authority,Family,Species_OtherName,Symmetry,Symmetry.note,Symmetry.reference,Symmetry.Sauquet,Symmetry.Reyes,Symmetry.Kalisz,Species.Sauquet.Original,Reference.Sauquet,Species.Reyes.Original,Ref.Reyes,Species.Kalisz.Original,Ref.Kalisz,Cleistogamy,Type.Cleistogamy,Reference.Cleistogamy,Comments.Cleistogamy,SCindex,AutofertilityIndex
Draba_reptans,,Brassicaceae,Tomostima reptans (Kew. Vascan),Act,, https://plants.usda.gov/java/largeImage?imageID=drre2_002_ahp.jpg,,,,,,,,,,1,dimorphic,Cruden 1977,,,
Drimys_insipida,,Winteraceae,,Act,,"Sauquet et al., 2017; ",Act,,,Tasmannia insipida,"Sauquet et al., 2017",,,,,0,,,,,
Drimys_winteri,,Winteraceae,,Act,,"Sauquet et al., 2017; ",Act,,,Drimys winteri,"Sauquet et al., 2017",,,,,0,,,,,
Drosera_capensis,,Droseraceae,,Act,,"Sauquet et al., 2017; ",Act,,,Drosera capensis,"Sauquet et al., 2017",,,,,0,,,,,
Drosera_rotundifolia,,Droseraceae,,Act,,Reyes et al. 2016; ,,Act,,,,Drosera rotundifolia,Reyes et al. 2016,,,1,dimorphic,Darwin 1877,,,
Drosophyllum_lusitanicum,,Drosophyllaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Drosophyllum lusitanicum,"Sauquet et al., 2017",Drosophyllum lusitanicum,Reyes et al. 2016,,,0,,,,1,0.970266539
Dryadodaphne_trachyphloia,,Atherospermataceae,,Act,,Reyes et al. 2016; ,,Act,,,,Dryadodaphne trachyphloia,Reyes et al. 2016,,,0,,,,,
Drypetes_madagascariensis,,Putranjivaceae,,Act,,"Sauquet et al., 2017; Reyes et al. 2016; ",Act,Act,,Drypetes madagascariensis,"Sauquet et al., 2017",Drypetes madagascariensis,Reyes et al. 2016,,,0,,,,,
Dudleya_viscida,,Crassulaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Dudleya viscida,"Sauquet et al., 2017",,,,,0,,,,,
Durandea_jenkinsii,,Linaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Durandea pentagyna,"Sauquet et al., 2017",,,,,0,,,,,
Duranta_erecta,,Verbenaceae,,Zygo,,Reyes et al. 2016; ,,Zygo,,,,Duranta erecta,Reyes et al. 2016,,,0,,,,,
Durio_zibethinus,,Malvaceae,,Act,,"Sauquet et al., 2017; ",Act,,,Durio zibethinus,"Sauquet et al., 2017",,,,,0,,,,,
Dyckia_remotiflora,,Bromeliaceae,,Act,,Reyes et al. 2016; ,,Act,,,,Dyckia remotiflora,Reyes et al. 2016,,,0,,,,,
Echinophora_spinosa,,Apiaceae,,Act,,"Kalisz et al., 2006",,,Act,,,,,Echinophora spinosa,1,0,,,,,
Echinops_exaltatus,,Compositae,,Act,,"Sauquet et al., 2017; ",Act,,,Echinops exaltatus,"Sauquet et al., 2017",,,,,0,,,,,
