og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_species,sym_genus,sym_family,rank_sym_scored_at,sym_data_source,sym_data_reference,latitude_data_entry_notes
Sanguinaria.canadensis,Papaveraceae,7.8,0.437301306,3,"Gate 24 of Duke Forest, North Carolina (USA)",35.981256,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,0,Mar-Apr.,7.8,0.625741913,NA,marcoshighquality,7.8,Sanguinaria canadensis,NA,NA,Sanguinaria canadensis,species,Papaveraceae,Sanguinaria,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,
Silene.latifolia,Caryophyllaceae,3.32,NA,2,Rutgers University (USA),NA,NA,NA,Greenhouse,Meagher & Delph (2001). Ecol. Evol. Res. 3: 845-860.,NA,NA,NA,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,3.32,Silene latifolia,NA,NA,Silene latifolia,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,
Silene.latifolia,Caryophyllaceae,2.87,NA,2,NA,NA,NA,NA,NA,Meagher & Delph (2001). Ecol. Evol. Res. 3: 845-860.,NA,NA,NA,D species. Data for females. Data for 0 and 100% pollination.,5.88,NA,NA,marcoshighquality marcoshighquality,2.87,Silene latifolia,NA,NA,Silene latifolia,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,
Silene.virginica,Caryophyllaceae,4.5,NA,NA,"Mountain Lake Biological Station, Virginia (USA)",NA,NA,1330,Mountain alpine,Dudash & Fenster (2001). Amer. J. Bot. 88: 1953-1959.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,4.5,Silene virginica,NA,NA,Silene virginica,species,Caryophyllaceae,Silene,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Siparuna.chiridota,Siparunaceae,1 to 2,NA,NA,Jatun Sacha (Ecuador),NA,NA,400,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,1.5,Siparuna chiridota,NA,NA,Siparuna thecaphora,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Siparuna.chiridota,Siparunaceae,10 to 14,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,12,Siparuna chiridota,NA,NA,Siparuna thecaphora,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Siparuna.aff.macropetala,Siparunaceae,3 to 4,NA,NA,Jatun Sacha (Ecuador),NA,NA,400,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,3.5,Siparuna aff macropetala,NA,NA,Siparuna macrotepala,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,genus,interpreted from the text,paper,
Siparuna.aff.macropetala,Siparunaceae,7 to 10,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,8.5,Siparuna aff macropetala,NA,NA,Siparuna macrotepala,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,genus,interpreted from the text,paper,
Siparuna.macrophylla,Siparunaceae,2,NA,NA,Zamora (Ecuador),NA,NA,2000,Primary rain forest,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,All year. D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,2,Siparuna macrophylla,NA,NA,Siparuna aspera,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,guessed from the illustration,iNaturalist,
Siparuna.macrophylla,Siparunaceae,20,NA,NA,NA,NA,NA,NA,NA,Feil (1992). Bot. J. Linn. Soc. 110: 171-203.,NA,NA,0,All year. D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,20,Siparuna macrophylla,NA,NA,Siparuna aspera,species,Siparunaceae,Siparuna,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,guessed from the illustration,iNaturalist,
