og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch,pollination,sym_RS_scored,Accepted_name,Accepted_name_rank,Accepted_family,Accepted_genus,sym_species,sym_genus,sym_family,rank_sym_scored_at,sym_data_source,sym_data_reference,latitude_data_entry_notes
Acourtia.runcinata,Asteraceae,5,NA,NA,"Bee Creek Preserve, Austin, Texas",30.2952,NA,NA,NA,Cabrera & Dieringer (1992). Am. Midl. Nat. 128: 83-88.,NA,NA,NA,Capitulum: longevity for the single floret.,NA,NA,NA,marcoshighquality,5,Acourtia runcinata,NA,NA,Acourtia runcinata,species,Asteraceae,Acourtia,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,Latitude of Bee Creek in Austin Texas
Adansonia.digitata,Malvaceae,1,NA,NA,Kenia,NA,NA,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,NA,1,Nov-Dec.,NA,NA,NA,marcoshighquality,1,Adansonia digitata,NA,NA,Adansonia digitata,species,Malvaceae,Adansonia,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,Species not in paper?
Adansonia.gibbosa,Malvaceae,2 to 4,NA,NA,"Three sites in Crossing and Derby, WA (Australia)",-17.73577,NA,NA,NA,Baum (1995). Ann. MO Bot. Gard. 82: 322-348.,NA,SI,1,Nov-Jan.,NA,NA,NA,marcoshighquality,3,Adansonia gibbosa,NA,NA,Adansonia gregorii,species,Malvaceae,Adansonia,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,"Species measured at three locations, averaged latitude of sites"
Aechmea.vanhoutteana,Bromeliaceae,0.375,NA,NA,"Itatiaia NP, Rio de Janeiro-Minas Gerais (Brazil)",-22.3669,NA,NA,Montane tropical rainforest,Zambon et al. (2020). Bot. J. Linn. Soc. 192: 803-815.,NA,NA,1,NA,NA,NA,Open at dawn,marcoshighquality,0.375,Aechmea vanhoutteana,NA,NA,Aechmea vanhoutteana,species,Bromeliaceae,Aechmea,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,NA,NA,NA,"Latitude is midpoint of very large national park in Brazil, no clues as to exact site location given in paper"
Ajuga.chamaepitys,Lamiaceae,2 to 3,NA,NA,"University of Córdoba, Córdoba(Spain)",NA,NA,NA,Greenhouse,Ruiz de Clavijo (1995). Int. J. Plant Sci. 158: 282-291.,NA,SC,0,"Dec-Feb, Apr-Jun (different cohorts).",NA,NA,NA,marcoshighquality,2.5,Ajuga chamaepitys,NA,NA,Ajuga chamaepitys,species,Lamiaceae,Ajuga,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,Won't do latitude because greenhouse
Ajuga.iva,Lamiaceae,2 to 6,NA,NA,"University of Córdoba, Córdoba(Spain)",NA,NA,NA,Greenhouse,Ruiz de Clavijo (1995). Int. J. Plant Sci. 158: 282-291.,NA,SC,0,Late May-Jul.,NA,NA,NA,marcoshighquality,4,Ajuga iva,NA,NA,Ajuga iva,species,Lamiaceae,Ajuga,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,Won't do latitude because greenhouse
Amborella.trichopoda,Amborellaceae,4 to 5,NA,NA,Col d'Amieu (New Caledonia),-21.61659,NA,500 to 800,Rain forest,Thien et al. (2003). Ann. MO Bot. Gard. 90: 466-490.,NA,NA,0,Nov-Apr. D species. Data for males.,NA,NA,NA,marcoshighquality marcoshighquality,4.5,Amborella trichopoda,NA,NA,Amborella trichopoda,species,Amborellaceae,Amborella,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,Latitude of Col d'Amieu
Amborella.trichopoda,Amborellaceae,1 to 2.8,NA,NA,NA,-21.61659,NA,NA,NA,Thien et al. (2003). Ann. MO Bot. Gard. 90: 466-490.,NA,NA,0,Nov-Apr. D species. Data for females.,NA,NA,NA,marcoshighquality marcoshighquality,1.9,Amborella trichopoda,NA,NA,Amborella trichopoda,species,Amborellaceae,Amborella,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,Latitude of Col d'Amieu
Anaxagorea.brevipes,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",-3.1235,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,NA,Thermogenesis,Sep-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea brevipes,NA,NA,Anaxagorea brevipes,species,Annonaceae,Anaxagorea,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,Latitude of Manaus city
Anaxagorea.crassipetala,Annonaceae,1,NA,NA,"OTS field station, La Selva (Costa Rica)",10.4576,NA,NA,Primary rain forest,Armstrong & Marsh (1997). J. Torrey Bot. Soc. 124: 228-235.,NA,SC Xen,Fleshy petals,NA,NA,NA,Open at dawn,marcoshighquality,1,Anaxagorea crassipetala,NA,NA,Anaxagorea crassipetala,species,Annonaceae,Anaxagorea,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,"Latitude of La Selva Biological Station, Costa Rica"
Anaxagorea.crassipetala,Annonaceae,2,NA,0,"OTS field station, La Selva (Costa Rica)",10.4576,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,SC,NA,Oct-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea crassipetala,NA,NA,Anaxagorea crassipetala,species,Annonaceae,Anaxagorea,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,"Latitude of La Selva Biological Station, Costa Rica"
Anaxagorea.manausensis,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",-3.1235,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,NA,Thermogenesis,Sep-Dec.,NA,NA,NA,marcoshighquality,2,Anaxagorea manausensis,NA,NA,Anaxagorea manausensis,species,Annonaceae,Anaxagorea,actinomorphic,NA,actinomorphic zygomorphic,genus,interpreted from the text,Kubitzki series,Latitude of Manaus city
Anaxagorea.phaeocarpa,Annonaceae,2,NA,0,"Manaus, Manaus (Brazil)",-3.1235,NA,NA,NA,Gottsberger (2016). Acta Bot. Brasil. 30: 313-325.,NA,SC,Thermogenesis,All year round.,NA,NA,NA,marcoshighquality,2,Anaxagorea phaeocarpa,NA,NA,Anaxagorea phaeocarpa,species,Annonaceae,Anaxagorea,actinomorphic,NA,actinomorphic zygomorphic,genus,interpreted from the text,Kubitzki series,Latitude of Manaus city
Apocynum.cannabinum,Apocynaceae,1.615384615,0.4,NA,"Lemon Hill, Philadelphia, Pennsilvania (USA)",39.97217,NA,NA,Early successional herbaceous communities,Livshultz et al. (2018) J Poll Ecol 22: 35-48.,NA,SI,1,NA,NA,NA,NA,marcoshighquality,1.615384615,Apocynum cannabinum,NA,NA,Apocynum cannabinum,species,Apocynaceae,Apocynum,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,Latitude of Lemon Hill
Aristolochia.grandiflora,Aristolochiaceae,3,NA,1,"1 km from Los Tuxtlas BS, Veracruz (Mexico)",18.58515,NA,NA,Lowland rainforest,Burgess et al. (2004). Ann. MO Bot. Gard. 91: 346-356.,NA,NA,0,Al year round.,NA,NA,"By third day, decaying",marcoshighquality,3,Aristolochia grandiflora,NA,NA,Aristolochia grandiflora,species,Aristolochiaceae,Aristolochia,zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,Latitude of Estaci�n de Biolog�a Tropical Los Tuxtlas
Asclepias.speciosa,Apocynaceae,3 to 7,NA,NA,"Pullman, Washington (USA)",46.72941,NA,NA,"Cultivated field, roadsides",Bookman (1983). Ecology 64: 254-273.,NA,NA,1,Jun-Aug.,NA,NA,NA,marcoshighquality,5,Asclepias speciosa,NA,NA,Asclepias speciosa,species,Apocynaceae,Asclepias,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,"Latitude of Pullman, Washington (couldn't find og reference)"
Asimina.triloba,Annonaceae,(9)-15-16-(>19),NA,0,"Trelesase Wood, Urbana, Illinois (USA)",40.135005,NA,NA,Temperate forest,Willson & Schemske (1980). Bull. torrey Bot. Club 107: 401-408.,NA,NA,NA,Early spring.,NA,NA,NA,marcoshighquality marcoslowquality,15.5,Asimina triloba,NA,NA,Asimina triloba,species,Annonaceae,Asimina,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,Latitude of Trelease Wood
Aspidistra.xuanxonensis.var.xuansonensis,Asparagaceae,5 to 6,NA,NA,Xuan Son NP (Vietnam),21.124585,NA,NA,Tropical forest,Vislobokov et al. (2014). Amer. J. Bot. 101: 1519-1531.,NA,Unknown,NA,NA,NA,NA,NA,marcoshighquality,5.5,Aspidistra xuanxonensis var xuansonensis,NA,NA,Aspidistra xuansonensis var. xuansonensis,variety,Asparagaceae,Aspidistra,actinomorphic,NA,actinomorphic zygomorphic,species,guessed from the illustration,paper,
Begonia.gracilis,Begoniaceae,4.9,0.1,3,"Pedregal de San Ángel EP, Mexico city (Mexico)",19.314551,NA,NA,NA,López & Domínguez (2003). J. Evol. Biol. 16: 1177-1185.,NA,SC Xen,NA,Aug-Oct. M species. Data for male flowers.,NA,NA,NA,marcoshighquality marcoshighquality,4.9,Begonia gracilis,NA,NA,Begonia gracilis,species,Begoniaceae,Begonia,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Begonia.gracilis,Begoniaceae,3.6,0.1,3,NA,19.314551,NA,NA,NA,López & Domínguez (2003). J. Evol. Biol. 16: 1177-1185.,NA,SC Xen,NA,Aug-Oct. M species. Data for female flowers.,NA,NA,NA,marcoshighquality marcoshighquality,3.6,Begonia gracilis,NA,NA,Begonia gracilis,species,Begoniaceae,Begonia,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Billbergia.distachia,Bromeliaceae,3,NA,NA,"Itatiaia NP, Rio de Janeiro-Minas Gerais (Brazil)",-22.3669,NA,NA,Montane tropical rainforest,"Zambon et al. (2020). Bot. J. Linn. Soc. 192: 816-827,",NA,SI,1,NA,NA,NA,NA,marcoshighquality,3,Billbergia distachia,NA,NA,Billbergia distachia,species,Bromeliaceae,Billbergia,zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,"Latitude is midpoint of very large national park in Brazil, no clues as to exact site location given in paper"
Caesalpinia.gilliesii,Fabaceae,0.5,NA,NA,4 sites in Córdoba (Argentina),-31.421696,NA,NA,Chaco y monte,Cocucci et al. (1992). Darwiniana 31: 111-135.,NA,NA,1,Oct-Feb. Am species. Data for h flowers.,NA,NA,Open at dusk,marcoshighquality,0.5,Caesalpinia gilliesii,NA,NA,Erythrostemon gilliesii,species,Fabaceae,Erythrostemon,zygomorphic,zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Calochortus.leichtlinii,Liliaceae,4,NA,NA,"Valentine Eastern Sierra Reserva, California (USA)",37.626017,NA,2400,Scrub and openings in Pinus forest,Holtsford (1985). Amer. J. Bot. 72: 1687-1694.,NA,SC,1,NA,NA,NA,NA,marcoshighquality,4,Calochortus leichtlinii,NA,NA,Calochortus leichtlinii,species,Liliaceae,Calochortus,actinomorphic,actinomorphic,actinomorphic,species,seen explicitly on the illustration,iNaturalist,
Campanula.americana,Campanulaceae,1.729166667,0.030833333,NA,"Salt Pond Mountain, Virginia (USA)",37.408897,NA,NA,Temperate woodland,Evanhoe & Galloway (2002). Amer. J. Bot. 89: 587-591.,NA,NA,1,"Floral longevity assessed as the sum of the male and female longevities given in Fig. 2. Longevity of unvisited flowers calculated in the greehouse, not in the field.",5.5125,0.309583333,NA,marcoshighquality,1.729166667,Campanula americana,NA,NA,Campanula americana,species,Campanulaceae,Campanula,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,
Campsis.radicans,Bignoniaceae,3.416666667,0.166666667,NA,"Trelease Prairie, Urbana, Illinois (USA)",40.135005,NA,NA,Oldfields and fencerows,Bertin (1982). Amer. J. Bot. 69. 122-134.,NA,SI,1,Late Jun-Sep.,3.958333333,0.208333333,NA,marcoshighquality,3.416666667,Campsis radicans,NA,NA,Campsis radicans,species,Bignoniaceae,Campsis,zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Cardamine.angustata,Brassicaceae,3.6,0.056085455,3,"Gate 24 of Duke Forest, North Carolina (USA)",35.981256,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,1,Mar-May.,4.3,0.077567175,NA,marcoshighquality,3.6,Cardamine angustata,NA,NA,Cardamine angustata,species,Brassicaceae,Cardamine,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Cavendishia.crassifolia(=C.bracteata),Ericaceae,1.4,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",10.334177,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.4,Cavendishia bracteata,NA,NA,Cavendishia bracteata,species,Ericaceae,Cavendishia,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,
Cipura.formosa,Iridaceae,7.5 to 8.5 h,NA,1,"P N Chapada dos Veadeiros, Goias (Brazil)",-14.00262,NA,979,Cerrado,Báez-Lizarazo et al. (2021). Bot. J. Linn. Soc. 196: 256-277.,NA,SI (ISI: 0.75 to 1.0),Oil,Feb-Apr.,NA,NA,Open at 6:00,marcoshighquality,0.333333333,Cipura formosa,NA,NA,Cipura formosa,species,Iridaceae,Cipura,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Cipura.sp.new.species,Iridaceae,5.5 to 6.5 h,NA,1,"Fazenda Piteira, Goias (Brazil)",-13.393987,NA,1120,Cerrado,Báez-Lizarazo et al. (2021). Bot. J. Linn. Soc. 196: 256-277.,NA,SI (ISI: 1.0),Oil,Feb-Apr.,NA,NA,Open at 6:00,marcoshighquality,0.25,Cipura sp new species,NA,NA,Cipura,genus,Iridaceae,Cipura,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,paper,"Laltitude of Moleque, closest point to site indicated on map in paper"
Cistus.crispus,Cistaceae,6.5 to 7.15 h,NA,NA,"Quinta de Sao Pedro RS, Sobreda (Portugal)",38.650977,NA,NA,Mediterranean scrubland,Brandt & Gottsberger (1988). Lagascalia 15 (extra): 625-634.,NA,SI,Little,May-Jun.,NA,NA,Open in the morning,marcoshighquality,0.284375,Cistus crispus,NA,NA,Cistus crispus,species,Cistaceae,Cistus,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,Latitude of Sobreda town
Claytonia.virginica,Montiaceae,2.3,0.09002614,3,"Oosting NA & Gate 24 of Duke Forest, North Carolina (USA)",35.981256,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,1,Mar-May.,2.9,0.117978136,NA,marcoshighquality,2.3,Claytonia virginica,NA,NA,Claytonia virginica,species,Montiaceae,Claytonia,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,
Clematis.cirrhosa,Ranunculaceae,20.5,0.2,3,10 sites in 3 islands of Balearic islands (Spain),39.614399,NA,NA,Mediterranean shrublands and forest,Tomàs et al. (2022). S. Afr. J. Bot. 151: 85-94.,NA,SC,1,Dec-Mar.,NA,NA,NA,marcoshighquality,20.5,Clematis cirrhosa,NA,NA,Clematis cirrhosa,species,Ranunculaceae,Clematis,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,"Latitude of Palma, capital of islands, as sites scattered across islands"
Clematis.flammula,Ranunculaceae,11.7,0.3,3,10 sites in 3 islands of Balearic islands (Spain),39.614399,NA,NA,Mediterranean shrublands and forest,Tomàs et al. (2022). S. Afr. J. Bot. 151: 85-94.,NA,SC,1,Jun-Aug.,NA,NA,NA,marcoshighquality,11.7,Clematis flammula,NA,NA,Clematis flammula,species,Ranunculaceae,Clematis,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,"Latitude of Palma, capital of islands, as sites scattered across islands"
Cnidoscolus.souzae,Euphorbiaceae,1,NA,NA,Yucatan (Mexico),20.238169,NA,NA,NA,Arceo-Gómez et al. (2016). Plant Biol. 18: 594-600.,NA,NA,NA,M species. Data are valid for both sexes.,NA,NA,NA,marcoshighquality,1,Cnidoscolus souzae,NA,NA,Cnidoscolus souzae,species,Euphorbiaceae,Cnidoscolus,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,Latitude from rough midpoint of site transect
Colchicum.stevenii,Colchicaceae,6.1,0.24,NA,(Israel),30.975,NA,NA,Mediterranean scrubland,Dafni (1996). Bocconea 5: 171-181.,NA,NA,Little,Nov.,NA,NA,NA,marcoshighquality,6.1,Colchicum stevenii,NA,NA,Colchicum stevenii,species,Colchicaceae,Colchicum,actinomorphic,actinomorphic,actinomorphic,species,seen explicitly on the illustration,POWO,"No details in paper, 6 sites across Israel, just took rough latitude from Israel"
Coptis.aspleniifolia,Ranunculaceae,6 to 17,NA,NA,"Juneau, Alaska (USA)",58.298792,NA,< 400 m,Coniferous forest,Willson & Anderson (2007). Northwest Sci. 81: 163-165.,NA,NA,NA,Sex-labile species.,NA,NA,NA,marcoshighquality,11.5,Coptis aspleniifolia,NA,NA,Coptis aspleniifolia,species,Ranunculaceae,Coptis,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Coryphantha.elephantidens,Cactaceae,1,NA,0,"Quilamulo, Morelos (Mexico)",18.510622,NA,NA,Tropical dry forest,Martínez-Peralta & Martínez-Zavala (2021). Pl. Sp. Biol. 36: 102-113.,NA,SI,0,Late Jul-early Oct. Gd species. Data for hermaphroditic flowers.,NA,NA,Open during the day,marcoshighquality marcoshighquality,1,Coryphantha elephantidens,NA,NA,Coryphantha elephantidens,species,Cactaceae,Coryphantha,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,Latitude of nearby town
Coryphantha.elephantidens,Cactaceae,2,NA,0,NA,18.510622,NA,NA,NA,Martínez-Peralta & Martínez-Zavala (2021). Pl. Sp. Biol. 36: 102-113.,NA,NA,0,Late Jul-early Oct. Gd species. Data for female flowers.,NA,NA,"Open during the day, closed at night",marcoshighquality marcoshighquality,2,Coryphantha elephantidens,NA,NA,Coryphantha elephantidens,species,Cactaceae,Coryphantha,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,Latitude of nearby town
Costus.wilsonii,Costaceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",10.334177,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Costus wilsonii,NA,NA,Costus wilsonii,species,Costaceae,Costus,zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Cucurbita.maxima.ssp.andreana,Cucurbitaceae,0.375,NA,NA,"Experimental field of the Agronomic Studies Depr., Córdoba (Argentina)",-31.421696,NA,NA,Soybean crop,Ashworth & Galetto (2001). Plant Biol. 3: 398-404.,NA,SC (0.73),1,Late Dec-Mid Apr. M species. Data for m flowers.,NA,NA,Open at dawn,marcoshighquality marcoshighquality,0.375,Cucurbita maxima ssp andreana,NA,NA,Cucurbita andreana,species,Cucurbitaceae,Cucurbita,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,Just gave latitude of Cordoba
Cucurbita.maxima.ssp.andreana,Cucurbitaceae,0.375,NA,NA,NA,-31.421696,NA,NA,NA,Ashworth & Galetto (2001). Plant Biol. 3: 398-404.,NA,NA,1,Late Dec-Mid Apr. M species. Data for f flowers.,NA,NA,Open at dawn,marcoshighquality marcoshighquality,0.375,Cucurbita maxima ssp andreana,NA,NA,Cucurbita andreana,species,Cucurbitaceae,Cucurbita,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,Just gave latitude of Cordoba
Cynoglossum.officinale,Boraginaceae,2 to 3,NA,0,Meyendel (Netherlands),52.135556,NA,NA,Sand dunes,Klinkhamer et al. (1989). Oikos 54: 201-204.,NA,NA,1,May-Jun.,NA,NA,NA,marcoshighquality,2.5,Cynoglossum officinale,NA,NA,Cynoglossum officinale,species,Boraginaceae,Cynoglossum,actinomorphic,actinomorphic,actinomorphic zygomorphic,NA,NA,NA,
Cypella.amplimaculata,Iridaceae,12.5 to 13.5 h,NA,1,"P N Morro do Osso, Rio Grande do Sul (Brazil)",-30.122392,NA,94,Pampa,Báez-Lizarazo et al. (2021). Bot. J. Linn. Soc. 196: 256-277.,NA,SC (ISI: 0.05 to 0.27),Oil,Oct-Dec.,NA,NA,Open at 6:30,marcoshighquality,0.541666667,Cypella amplimaculata,NA,NA,Cypella exilis,species,Iridaceae,Cypella,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Cypripedium.kentuckiense,Orchidaceae,16,NA,1,"Scott County, Tennessee (USA)",36.407293,NA,250 to 270,Hardwood forest,Edens-Meier et al. 82021). J. Torrey Bot. Soc. 148: 53-74.,NA,SC,0,May.,NA,NA,NA,marcoshighquality,16,Cypripedium kentuckiense,NA,NA,Cypripedium kentuckiense,species,Orchidaceae,Cypripedium,zygomorphic,zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,Midpoint of Scotts County
Dianthus.morisianus,Caryophyllaceae,7.5,NA,1,Botanical Garden Cagliari University (Italy),39.22153,NA,NA,Botanical garden,Nebot et al. (2016). Flora 219: 1-7.,NA,SC,NA,May-Jul. Gm species. Data for hermaphrodites.,NA,NA,NA,marcoshighquality,7.5,Dianthus morisianus,NA,NA,Dianthus morisianus,species,Caryophyllaceae,Dianthus,actinomorphic,actinomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,paper,
Drosophyllum.lusitanicum,Drosophyllaceae,2.301666667,0.138592929,3,"Sierra del Puerto del Centinela, Badajoz (Spain)",39.209109,NA,450,Mediterranean forest,Ortega-Olivencia et al. (1995). Bot. J. Linn. Soc. 118: 331-351.,NA,SC,NA,Mar-Aug.,NA,NA,NA,marcoshighquality,2.301666667,Drosophyllum lusitanicum,NA,NA,Drosophyllum lusitanicum,species,Drosophyllaceae,Drosophyllum,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,
Echinocereus.fasciculatus,Cactaceae,3 to 4,NA,NA,"Superior, Arizona (USA)",33.278957,NA,NA,Desert,Grant & Grant (1979). Plant Syst. Evol. 132: 85-90.,NA,NA,0?,NA,NA,NA,Open at dawn,marcoshighquality,3.5,Echinocereus fasciculatus,NA,NA,Echinocereus fasciculatus,species,Cactaceae,Echinocereus,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,
Echinopsis.chamaecereus,Cactaceae,2 to 3,NA,NA,"Amherst, Massachusetts (USA)",NA,NA,NA,Greenhouse,Boyle & Idnurm (2001). Sex. Plant Reprod. 13: 323-327.,1,SI,NA,NA,NA,NA,Closed at night,marcoshighquality,2.5,Echinopsis chamaecereus,NA,NA,Chamaecereus silvestrii,species,Cactaceae,Chamaecereus,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,Won't do latitude because greenhouse
Echium.simplex,Boraginaceae,2.5 to 3,NA,NA,"Chamorga, Anaga BR, Tenerife (Spain)",28.568885,NA,250,Dry-Mediterranean srubland,Jaca et al. (2020). Arthrop.-Plant Interact. 14: 409-419.,NA,SC,1,May-Jun.,NA,NA,NA,marcoshighquality,2.75,Echium simplex,NA,NA,Echium simplex,species,Boraginaceae,Echium,actinomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,species,seen explicitly on the illustration,POWO,
Erythronium.umbilicatum,Liliaceae,8.1,0.153628526,3,"Oosting NA & Gate 24 of Duke Forest, North Carolina (USA)",35.981256,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,0,Mar-Apr.,10.4,0.178423327,NA,marcoshighquality,8.1,Erythronium umbilicatum,NA,NA,Erythronium umbilicatum,species,Liliaceae,Erythronium,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,
Escontria.chiotilla,Cactaceae,0.416666667,NA,NA,"Maize Cave, San Rafael, Puebla (Mexico)",19.307875,NA,NA,"Thorn scrub, desert",Oaxaca-Villa et al. (2006). Genet. Res. Crop Evol. 53: 277-287.,NA,SI,1,All year.,NA,NA,Diurnal anthesis,marcoshighquality,0.416666667,Escontria chiotilla,NA,NA,Escontria chiotilla,species,Cactaceae,Escontria,actinomorphic,NA,actinomorphic zygomorphic,species,seen explicitly on the illustration,iNaturalist,"Latitude of San Rafael, Puebla, in rough ballpark but doesn't quite match the map in paper"
Euphrasia.montana,Orobanchaceae,3.2,0.361478446,3,"Realp, Alps (Switzerland)",46.598172,NA,1600,Alpine meadow,Trunschke & Stocklin (2017). Alp. Bot. 127: 41-51.,NA,NA,NA,NA,4.18,0.3,NA,marcoshighquality marcoshighquality,3.2,Euphrasia montana,NA,NA,Euphrasia trifida,species,Orobanchaceae,Euphrasia,zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Euphrasia.montana,Orobanchaceae,5.1,0.284018779,3,"Furka Pass, Alps (Switzerland)",46.575993,NA,2600,Alpine meadow,Trunschke & Stocklin (2017). Alp. Bot. 127: 41-51.,NA,NA,NA,NA,7.01,0.3,NA,marcoshighquality marcoshighquality,5.1,Euphrasia montana,NA,NA,Euphrasia trifida,species,Orobanchaceae,Euphrasia,zygomorphic,actinomorphic zygomorphic,actinomorphic zygomorphic,NA,NA,NA,
Eupomatia.bennettii,Eupomatiaceae,2,NA,0,Zurich Botanical Garden (Germany),47.359477,NA,NA,Botanical garden,Rix & Endress (2007). Curtis's Bot. Mag. 24: 262-167.,1,NA,NA,NA,NA,NA,"First day as female, second day as male",marcoshighquality,2,Eupomatia bennettii,NA,NA,Eupomatia bennettii,species,Eupomatiaceae,Eupomatia,actinomorphic,actinomorphic,actinomorphic,NA,NA,NA,
Eupomatia.laurina,Eupomatiaceae,1,NA,0,Zurich Botanical Garden (Germany),47.359477,NA,NA,Botanical garden,Rix & Endress (2007). Curtis's Bot. Mag. 24: 262-167.,1,NA,NA,Oct-Jan.,NA,NA,"Open at 4:30, closes at 7:30 reopens at evening",marcoshighquality,1,Eupomatia laurina,NA,NA,Eupomatia laurina,species,Eupomatiaceae,Eupomatia,actinomorphic,actinomorphic,actinomorphic,species,seen explicitly on the illustration,Flora of NSW,
Euterpe.edulis,Arecaceae,0.5,NA,NA,Brazil,NA,NA,NA,NA,Mantovani & Morellato (2000). In Reis & Reis (eds.) Euterpe,NA,NA,NA,M species. Data for male flowers,NA,NA,Diurnal,marcoshighquality marcoshighquality,0.5,Euterpe edulis,NA,NA,Euterpe edulis,species,Arecaceae,Euterpe,actinomorphic,NA,actinomorphic,family,explicit from the text (described as such),NSW PlantNet and other sources,"Location too vague, can't track down original reference"
