og_species,og_family,og_longevity,SE_long,Quality,Site,Lat,Lon,alt_m,Habitat,reference,Exotic,self_incom,Nectar,notes,longev_univisit,long_unv_SE,Duration,sources,mean_long_days,og_species_patch
Croton.discolor,Euphorbiaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,D species. Data are valid for both sexes.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Croton discolor
Croton.sarcopetalus,Euphorbiaceae,1,NA,NA,"Sierra Chica, Córdoba (Argentina)",-31.33333333,-64.25,NA,Chaco: tropical dry forest,Freitas et al. (2001). Bot. J. Linn. Soc. 136: 267-277.,NA,SC,1,M species. Data for m flowers.,NA,NA,NA,marcoshighquality marcoshighquality,1,Croton sarcopetalus
Croton.sarcopetalus,Euphorbiaceae,3 to 4,NA,NA,NA,NA,NA,NA,NA,Freitas et al. (2001). Bot. J. Linn. Soc. 136: 267-277.,NA,NA,1,M species. Data for f flowers.,NA,NA,NA,marcoshighquality marcoshighquality,3.5,Croton sarcopetalus
Crupina.crupinastrum,Asteraceae,1.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.5,Crupina crupinastrum
Cucurbita.maxima.ssp.andreana,Cucurbitaceae,0.375,NA,NA,"Experimental field of the Agronomic Studies Depr., Córdoba (Argentina)",NA,NA,NA,Soybean crop,Ashworth & Galetto (2001). Plant Biol. 3: 398-404.,NA,SC (0.73),1,Late Dec-Mid Apr. M species. Data for m flowers.,NA,NA,Open at dawn,marcoshighquality marcoshighquality,0.375,Cucurbita maxima ssp andreana
Cucurbita.maxima.ssp.andreana,Cucurbitaceae,0.375,NA,NA,NA,NA,NA,NA,NA,Ashworth & Galetto (2001). Plant Biol. 3: 398-404.,NA,NA,1,Late Dec-Mid Apr. M species. Data for f flowers.,NA,NA,Open at dawn,marcoshighquality marcoshighquality,0.375,Cucurbita maxima ssp andreana
Curcumorpha.longiflora(=Boesenbergia.longiflora),Zingiberaceae,1.5,NA,NA,"Xishuangbannan N NR, Yunnan (China)",21.68333333,101.4166667,580,Monsoon rainforest,Gao et al. (2004). Amer. J. Bot. 91: 289-293.,NA,SC Xen,1,Jul-Sep.,NA,NA,NA,marcoshighquality,1.5,Boesenbergia longiflora
Cyananthus.delavayi,Campanulaceae,3.341666667,0.214166667,3,"Sangri-la, Yunnan (China)",27.9,99.63333333,3355,Alpine meadow,Niu et al. (2015). PLoS ONE10: e0117149.,NA,NA,NA,Gd species. Data for h flowers. Corolla info for neutral phase.,7.408333333,0.214166667,NA,marcoshighquality,3.341666667,Cyananthus delavayi
Cyananthus.delavayi,Campanulaceae,5.433333333,0.204166667,3,"Chunzong, Sangri-La, Yunnan (China)",27.9,99.66666667,3270,Alpine meadow,Wang et al. (2021). Evolution 75: 278-293.,NA,SC Xen,1,Gd species. Data for h flowers.,5.608333333,0.204166667,NA,marcoshighquality marcoshighquality,5.433333333,Cyananthus delavayi
Cyananthus.delavayi,Campanulaceae,4.229166667,0.195833333,3,NA,27.9,99.66666667,3270,NA,Wang et al. (2021). Evolution 75: 278-293.,NA,NA,1,Gd species. Data for f flowers.,5.183333333,0.204166667,NA,marcoshighquality marcoshighquality,4.229166667,Cyananthus delavayi
Cyclamen.graecum,Primulaceae,6.6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,6.6,Cyclamen graecum
Cynoglossum.officinale,Boraginaceae,2 to 3,NA,0,Meyendel (Netherlands),NA,NA,NA,Sand dunes,Klinkhamer et al. (1989). Oikos 54: 201-204.,NA,NA,1,May-Jun.,NA,NA,NA,marcoshighquality,2.5,Cynoglossum officinale
Cypella.amplimaculata,Iridaceae,12.5 to 13.5 h,NA,1,"P N Morro do Osso, Rio Grande do Sul (Brazil)",NA,NA,94,Pampa,Báez-Lizarazo et al. (2021). Bot. J. Linn. Soc. 196: 256-277.,NA,SC (ISI: 0.05 to 0.27),Oil,Oct-Dec.,NA,NA,Open at 6:30,marcoshighquality,0.541666667,Cypella amplimaculata
Cypripedium.kentuckiense,Orchidaceae,16,NA,1,"Scott County, Tennessee (USA)",NA,NA,250 to 270,Hardwood forest,Edens-Meier et al. 82021). J. Torrey Bot. Soc. 148: 53-74.,NA,SC,0,May.,NA,NA,NA,marcoshighquality,16,Cypripedium kentuckiense
Dalbergia.brownei,Fabaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Dalbergia brownei
Dalbergia.miscolobium,Fabaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Dalbergia miscolobium
Daphne.oleoides,Thymelaeaceae,3.3,0.4,3,Mt. Olympos (Greece)-1993,40.06666667,22.45,2600 to 2750,Alpine meadow/scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,3.3,Daphne oleoides
Daphne.oleoides,Thymelaeaceae,4.7,0.3,3,Mt. Olympos (Greece)-1994,NA,NA,NA,NA,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun-Jul.,NA,NA,NA,marcoshighquality marcoshighquality marcoscommunity marcoscommunity,4.7,Daphne oleoides
Daucus.guttatus,Apiaceae,3,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Daucus guttatus
Davilla.elliptica,Dilleniaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SC,0,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Davilla elliptica
Davilla.kunthii,Dilleniaceae,0.208333333,NA,1,"Itacoatiara, Amazonas (Brazil)",-3.045555556,-58.76138889,NA,Tropical forest,Rech et al. (2011). Acta Bot. Bras. 25: 487-496.,NA,SI,0,NA,NA,NA,From 6:00 to 11:00,marcoshighquality,0.208333333,Davilla kunthii
Delphinium.barbeyi,Ranunculaceae,4.73,0.484664833,2,"RMBL, Colorado (USA)",38.96,-106.99,2900,Alpine meadow,Fung & Thomson (2017). J. Poll. Ecol. 21: 86-91.,NA,NA,NA,NA,4.62,0.469809206,NA,marcoshighquality,4.73,Delphinium barbeyi
Delphinium.peregrinum,Ranunculaceae,9.7,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,9.7,Delphinium peregrinum
Desmodium.canum,Fabaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,Width of the standard and length of the keel are provided.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Desmodium canum
Desmodium.grahamii,Fabaceae,0.208333333,NA,NA,Outside Mexico City (Mexico),19.31821389,-99.19280278,NA,NA,Miguel-Peñaloza et al. (2019). Plant Syst. Evol. 305:743-754.,NA,NA,NA,"SC, flowering period: June-October",NA,NA,NA,marcoshighquality,0.208333333,Desmodium grahamii
Desmodium.triflorum,Fabaceae,0.5,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,0,Width of the standard and length of the keel are provided.,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,0.5,Desmodium triflorum
Dianthus.glacialis,Caryophyllaceae,1.629166667,0.129166667,NA,"Lake Suvettra See, Alps (Switzerland)",46.50777778,9.774444444,2650,Alpine meadow,Erhardt & Jäggi (1995). Plant Syst. Evol. 195: 67-76.,NA,SC Aut,Little,NA,NA,NA,NA,marcoshighquality,1.629166667,Dianthus glacialis
Dianthus.integer,Caryophyllaceae,5.5,0.5,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun-Jul.,NA,NA,NA,marcoshighquality marcoscommunity,5.5,Dianthus integer
Dianthus.morisianus,Caryophyllaceae,7.5,NA,1,Botanical Garden Cagliari University (Italy),NA,NA,NA,Botanical garden,Nebot et al. (2016). Flora 219: 1-7.,NA,SC,NA,May-Jul. Gm species. Data for hermaphrodites.,NA,NA,NA,marcoshighquality,7.5,Dianthus morisianus
Dianthus.pavonius,Caryophyllaceae,7.8,0.48,NA,Parco Naturale de Marguareis (Italy),44.32733333,8.154166667,2000,Alpine meadow,Bruns et al. (2019). Evolution 73: 497-510.,NA,NA,NA,Gd species. Data for hermaphrodites.,10.5,0.2,NA,marcoshighquality marcoshighquality,7.8,Dianthus pavonius
Dianthus.pavonius,Caryophyllaceae,6.3,0.76,NA,NA,NA,NA,NA,NA,Bruns et al. (2019). Evolution 73: 497-510.,NA,NA,NA,Gd species. Data for females.,10.3,0.2,NA,marcoshighquality marcoshighquality,6.3,Dianthus pavonius
Dicliptera.iopus,Acanthaceae,1.1,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1.1,Dicliptera iopus
Dictamnus.albus,Rutaceae,5.75,0.63,NA,"Parco Gessi Bolognesi e Calanchi dell'Abbadessa NP, Bologna (Italy)",44.41972222,11.39833333,168,Temperate forest,"Fisogni et al. (2011). Plant Biol. 13: 848-856,",NA,SC,1,Late Apr-Jun.,NA,NA,NA,marcoshighquality,5.75,Dictamnus albus
Didymopanax.macrocarpum(=Schefflera.macrocarpa),Araliaceae,2 or more,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Schefflera macrocarpa
Dimorphandra.mollis,Fabaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Dimorphandra mollis
Dittrichia.graveolens,Asteraceae,2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Dittrichia graveolens
Draba.aizoides,Brassicaceae,8.1,NA,1,"2 sites at Valais, Alps (Switzerland)",46.38333333,7.625,2700,Alpine meadow,Fabbro & Körner (2004). Flora 199: 70-81.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,8.1,Draba aizoides
Drosera.tokaensis,Droseraceae,0.208333333,NA,NA,Toyoake (Japan),35.0739,137.0185,NA,Bog,Tagawa et al. (2018). Pl. Sp. Biol. 33: 153-157.,NA,SC,NA,NA,NA,NA,Open at dawn,marcoshighquality,0.208333333,Drosera tokaensis
Drosera.toyoakensis,Droseraceae,0.208333333,NA,NA,Toyoake (Japan),35.07388889,137.0186111,NA,Bog,Tagawa et al. (2018). Ecol. Res. 33: 487-494.,NA,SC (0.260),NA,July to September.,NA,NA,Open at dawn,marcoshighquality,0.208333333,Drosera toyoakensis
Drosophyllum.lusitanicum,Drosophyllaceae,2.301666667,0.138592929,3,"Sierra del Puerto del Centinela, Badajoz (Spain)",NA,NA,450,Mediterranean forest,Ortega-Olivencia et al. (1995). Bot. J. Linn. Soc. 118: 331-351.,NA,SC,NA,Mar-Aug.,NA,NA,NA,marcoshighquality,2.301666667,Drosophyllum lusitanicum
Dryas.integrifolia,Rosaceae,6.2,0.21,2,"Pangnirtung, Northwest Territories (Canada)",66.08333333,-65.75,NA,Tundra,Krannitz (1996). Can. J. Bot. 74: 1451-1460.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality,6.2,Dryas integrifolia
Dryas.octopetala,Rosaceae,8.5,0.1,3,Finse (Norway),60.61555556,7.518888889,1450,Alpine tundra -low,Lundemo & Totland (2007). Acta Oecol. 32: 262-268.,NA,SI,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,8.5,Dryas octopetala
Dryas.octopetala,Rosaceae,9,0.2,3,NA,NA,NA,1500,Alpine tundra -middle,Lundemo & Totland (2007). Acta Oecol. 32: 262-268.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,9,Dryas octopetala
Dryas.octopetala,Rosaceae,6.3,0.2,3,NA,NA,NA,1550,Alpine tundra -high,Lundemo & Totland (2007). Acta Oecol. 32: 262-268.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoshighquality marcoshighquality,6.3,Dryas octopetala
Drymonia.conchocalyx,Gesneriaceae,4,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1500 to 1650,Cloud forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,4,Drymonia conchocalyx
Dyckia.excelsa,Bromeliaceae,2,NA,0,"Sao Joao Farm, Matto Grosso do Sul (Brazil)",-19.17971944,-57.53833333,NA,Cangas: rocky outcrops,Lenzi & Paggi (2020). Pl. Sp. Biol. 35: 97-108.,NA,SI (ISI: 0.112),1,Sep.,NA,NA,NA,marcoshighquality,2,Dyckia excelsa
Ebenus.sibthorpii,Lamiaceae,3.1,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.1,Ebenus sibthorpii
Ecballium.elaterium,Cucurbitaceae,6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,6,Ecballium elaterium
Echeveria.gibbiflora,Crassulaceae,7 to 8,NA,0,RE Pedregal de San Angel (Mexico),19.28583333,-99.17458333,2250,Xerophytic shrubland,Parra et al. (1993). Amer. J. Bot. 80: 153-159.,NA,NA,1,Oct-Jan.,NA,NA,NA,marcoshighquality,7.5,Echeveria gibbiflora
Echinocereus.fasciculatus,Cactaceae,3 to 4,NA,NA,"Superior, Arizona (USA)",NA,NA,NA,Desert,Grant & Grant (1979). Plant Syst. Evol. 132: 85-90.,NA,NA,0?,NA,NA,NA,Open at dawn,marcoshighquality,3.5,Echinocereus fasciculatus
Echinodorus.longipetalus,Alismataceae,7 to 8 h,NA,0,"Taquaritinga, Sao Paulo (Brazil)",-21.74555556,-48.49805556,512,Marsh in semideciduous forest,Pansarin (2008). Aquat. Bot. 89: 404-408.,NA,SC,0,Gd species. Data valid for both sexes.,NA,NA,Open at 4:30 to 5:00 AM,marcoshighquality,0.3125,Echinodorus longipetalus
Echinops.microcephalus,Asteraceae,3.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.5,Echinops microcephalus
Echinopsis.chamaecereus,Cactaceae,2 to 3,NA,NA,"Amherst, Massachusetts (USA)",NA,NA,NA,Greenhouse,Boyle & Idnurm (2001). Sex. Plant Reprod. 13: 323-327.,1,SI,NA,NA,NA,NA,Closed at night,marcoshighquality,2.5,Echinopsis chamaecereus
Echinopsis.rhodotricha,Cactaceae,0.625,NA,NA,"Fazenda Retiro Conceição, Porto Murtinho, Mato Grosso do Sul (Brazil)",-21.6825,-57.77901667,88,Chaco: tropical dry forest,Ferreira et al. (2018). Plant Biol. 20: 101-112.,NA,SC,1,Aug-Mar. Exact location and altitude provided by Bruno Ferreira.,NA,NA,Dusk to next midmorning,marcoshighquality,0.625,Echinopsis rhodotricha
Echium.angustifolium,Boraginaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Echium angustifolium
Echium.simplex,Boraginaceae,2.5 to 3,NA,NA,"Chamorga, Anaga BR, Tenerife (Spain)",NA,NA,250,Dry-Mediterranean srubland,Jaca et al. (2020). Arthrop.-Plant Interact. 14: 409-419.,NA,SC,1,May-Jun.,NA,NA,NA,marcoshighquality,2.75,Echium simplex
Edraianthus.graminifolius,Campanulaceeae,4,0.1,3,Mt. Olympos (Greece)-1994,40.06666667,22.45,2600 to 2750,Alpine meadow and scree,Makrodimos et al. (2008). Flora 203: 449-468.,NA,NA,NA,Jun-Jul.,NA,NA,NA,marcoshighquality marcoscommunity,4,Edraianthus graminifolius
Ehretia.tinifolia,Boraginaceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Ehretia tinifolia
Eichhornia.azurea,Pontederiaceae,1,NA,NA,"Juréia, Sao Paulo (Brazil)",-24.33333333,47,NA,Coast,Alves dos Santos (2002). Biol. J. Linn. Soc. 77: 499-507.,NA,Breakdown of tristyly,1,NA,NA,NA,NA,marcoshighquality,1,Eichhornia azurea
Emilia.sonchifolia,Asteraceae,1+,NA,0,Morant Point (Jamaica),17.91666667,-76.19166667,NA,Coastal scrub,Percival (1974). Biotropica 6: 104-129.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoslowquality marcoscommunity,1,Emilia sonchifolia
Emmotum.nitens,Icacinaceae,3,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Emmotum nitens
Encholirium.heloisae,Bromeliaceae,1.166666667,NA,NA,"Serra do Cipó, Minas Gerais (Brazil)",-19.25,-43.5,1100,Dry scrubland,Christianini et al. (2013). Plant Biol. 15: 360-368.,NA,SC,1,Dec-Apr.,NA,NA,Open at dawn,marcoshighquality,1.166666667,Encholirium heloisae
Encholirium.vogelii,Bromeliaceae,2.5,NA,NA,"Serra do Cipó, Minas Gerais (Brazil)",-19.25,-43.5,1100,Dry scrubland,Christianini et al. (2013). Plant Biol. 15: 360-368.,NA,SC,1,Dec-Apr.,NA,NA,NA,marcoshighquality,2.5,Encholirium vogelii
Enterolobium.ellipticum,Fabaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Enterolobium ellipticum
Epilobium.angustifolium,Onagraceae,5.12,0.414,2,"RMBL, Colorado (USA)",38.96,-106.99,2900,Alpine meadow,Fung & Thomson (2017). J. Poll. Ecol. 21: 86-91.,NA,NA,NA,NA,4.52,0.29,NA,marcoshighquality,5.12,Epilobium angustifolium
Eremanthus.glomerulatus,Asteraceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,NA,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Eremanthus glomerulatus
Erica.manipuliflora,Ericaceae,7.6,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,7.6,Erica manipuliflora
Erica.multiflora,Ericaceae,14,NA,0,"Horta, Barcelona (Spain)",41.61666667,2.016666667,NA,Mediterranean shrubland,Santandreu & Lloret (1999). Can. J. Bot. 77: 734-743.,NA,NA,1,Sep-Dec.,NA,NA,NA,marcoshighquality,14,Erica multiflora
Eriope.blanchetii,Lamiaceae,1.291666667,NA,NA,"APA Lagoas e Dunas do Abaeté, Bahia (Brazil)",-12.93333333,-38.35,NA,Coastal sand dunes,Da Silva et al. (2005). Aust. Ecol. 30: 243-249.,NA,NA,1,All year.,NA,NA,NA,marcoshighquality,1.291666667,Eriope blanchetii
Eriotheca.pubescens,Malvaceae,3,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,Apomictic,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,3,Eriotheca pubescens
Erodium.cicutarium.ssp.cicutarium,Geraniaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Erodium cicutarium ssp cicutarium
Erodium.malacoides,Geraniaceae,1,NA,0,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Erodium malacoides
Eruca.vesicaria,Brassicaceae,3.5,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,3.5,Eruca vesicaria
Eryngium.campestre,Apiaceae,2.8,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.8,Eryngium campestre
Eryngium.maritimum,Apiaceae,11.91,0.89,3,"Son Serra de Marina, Mallorca (Spain)",36.102,3.937,0,Sand dunes Mediterranean,Cortés-Fernández et al. (2022). Plant Biol. 24: 249-258.,NA,SI,NA,May-Jul.,NA,NA,1.03 days of interval between m and f phase,marcoshighquality,11.91,Eryngium maritimum
Erythrina.crista.galli,Fabaceae,3 to 4,NA,NA,"Isla Charigüe, Entre Ríos (Argentina)",-32.92777778,-60.61861111,NA,NA,Galetto et al. (2000). Ann. MO Bot. Gard. 87: 127-145.,NA,SC Fac Xen,1,"Nov. Two other sites studied, with the same floral longevity.",NA,NA,NA,marcoshighquality,3.5,Erythrina crista galli
Erythrina.lanceolata,Fabaceae,1,NA,0,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Erythrina lanceolata
Erythrina.mitis,Fabaceae,3,NA,NA,Colinas de Bello Monte (Venezuela),10.5,-66.88333333,1100,Secondary tropical dry forest,Grases & Ramírez (1998). Rev. Biol. Trop. 46: 1095-1108.,1,Partially SC,1,Dec-Apr.,NA,NA,NA,marcoshighquality,3,Erythrina mitis
Erythronium.japonicum,Liliaceae,14.41,0.180236772,3,"Mt. Aoba, Honshu (Japan) - 1996",NA,NA,NA,Deciduous-coniferous mixed forest,Ishii & Sakai (2000). Funct. Ecol. 14: 122-128.,NA,SI,NA,Apr.,15.65,0.364900225,NA,marcoshighquality,14.41,Erythronium japonicum
Erythronium.umbilicatum,Liliaceae,8.1,0.153628526,3,"Oosting NA & Gate 24 of Duke Forest, North Carolina (USA)",NA,NA,NA,Temperate forest,Motten (1986). Ecol. Monogr. 56: 21-42.,NA,NA,0,Mar-Apr.,10.4,0.178423327,NA,marcoshighquality,8.1,Erythronium umbilicatum
Erythroxylum.amplum,Erythroxylaceae,2.2,NA,1,"Monteverde, Cordillera de Tilaran (Costa Rica)",NA,NA,1400 to 1500,Moist forest,Stratton (1989). Biotropica 21: 308-318.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2.2,Erythroxylum amplum
Erythroxylum.suberosum,Erythroxylaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Erythroxylum suberosum
Erythroxylum.tortuosum,Erythroxylaceae,1,NA,0,"Brasilia Botanical Garden, Federal Capital (Brazil)",-15.86666667,-47.85,1025 to 1150,Cerrado,Oliveira & Gibbs (2000). Flora 195: 311-329.,NA,SI,1,NA,NA,NA,NA,marcoshighquality marcoscommunity,1,Erythroxylum tortuosum
Escontria.chiotilla,Cactaceae,0.416666667,NA,NA,"Maize Cave, San Rafael, Puebla (Mexico)",NA,NA,NA,"Thorn scrub, desert",Oaxaca-Villa et al. (2006). Genet. Res. Crop Evol. 53: 277-287.,NA,SI,1,All year.,NA,NA,Diurnal anthesis,marcoshighquality,0.416666667,Escontria chiotilla
Euphorbia.acanthothamnos,Euphorbiaceae,2,NA,1,Daphni (Greece),38,23.63333333,135 to 215,Phrygana (Mediterranean scrubland),Petanidou et al. (1995). Amer. J. Bot. 82: 607-620.,NA,NA,NA,NA,NA,NA,NA,marcoshighquality marcoscommunity,2,Euphorbia acanthothamnos
Euphrasia.montana,Orobanchaceae,3.2,0.361478446,3,"Realp, Alps (Switzerland)",NA,NA,1600,Alpine meadow,Trunschke & Stocklin (2017). Alp. Bot. 127: 41-51.,NA,NA,NA,NA,4.18,0.3,NA,marcoshighquality marcoshighquality,3.2,Euphrasia montana
Euphrasia.montana,Orobanchaceae,5.1,0.284018779,3,"Furka Pass, Alps (Switzerland)",NA,NA,2600,Alpine meadow,Trunschke & Stocklin (2017). Alp. Bot. 127: 41-51.,NA,NA,NA,NA,7.01,0.3,NA,marcoshighquality marcoshighquality,5.1,Euphrasia montana
Eupomatia.bennettii,Eupomatiaceae,2,NA,0,Zurich Botanical Garden (Germany),NA,NA,NA,Botanical garden,Rix & Endress (2007). Curtis's Bot. Mag. 24: 262-167.,1,NA,NA,NA,NA,NA,"First day as female, second day as male",marcoshighquality,2,Eupomatia bennettii
Eupomatia.laurina,Eupomatiaceae,1,NA,0,Zurich Botanical Garden (Germany),NA,NA,NA,Botanical garden,Rix & Endress (2007). Curtis's Bot. Mag. 24: 262-167.,1,NA,NA,Oct-Jan.,NA,NA,"Open at 4:30, closes at 7:30 reopens at evening",marcoshighquality,1,Eupomatia laurina
Euterpe.edulis,Arecaceae,0.5,NA,NA,Brazil,NA,NA,NA,NA,Mantovani & Morellato (2000). In Reis & Reis (eds.) Euterpe,NA,NA,NA,M species. Data for male flowers,NA,NA,Diurnal,marcoshighquality marcoshighquality,0.5,Euterpe edulis
