ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings
1235,Matayba apetella,0.94341268848788,1797743,Matayba apetala,0.94341268848788,species,,,NA,(Griseb.) Radlk.,Sapindaceae,Matayba,Matayba,1,apetella,apetala,0.75,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2510288,,,Accepted,Matayba apetala,Matayba apetala,(Griseb.) Radlk.,1797743,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2510288,,Sapindaceae,1,1,wcvp,0
1236,Maytenus rigida,1,1793551,Maytenus rigida,1,species,,,NA,(Thunb.) Mart.,Celastraceae,Maytenus,Maytenus,1,rigida,rigida,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2369431,,Y,Accepted,Maytenus rigida,Maytenus rigida,(Thunb.) Mart.,1793551,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2369431,,Celastraceae,1,1,wcvp,0
1237,Mazus radicans,1,445331,Mazus radicans,1,species,,,NA,(Hook.f.) Cheeseman,Mazaceae,Mazus,Mazus,1,radicans,radicans,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2507390,,Y,Accepted,Mazus radicans,Mazus radicans,(Hook.f.) Cheeseman,445331,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2507390,,Mazaceae,1,1,wcvp,0
1238,Mecardonia tenella,1,1123358,Mecardonia tenella,1,species,,,NA,(Cham. & Schltdl.) Pennell,Plantaginaceae,Mecardonia,Mecardonia,1,tenella,tenella,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2507169,,Y,Synonym,Mecardonia procumbens var. tenella,Mecardonia procumbens,(Cham. & Schltdl.) V.C.Souza,1029068,variety,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2507174,,Plantaginaceae,1,1,wcvp,0
1239,Meconopsis integrifolia,1,1225302,Meconopsis integrifolia,1,species,,,NA,(Maxim.) Franch.,Papaveraceae,Meconopsis,Meconopsis,1,integrifolia,integrifolia,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2502229,,Y,Accepted,Meconopsis integrifolia,Meconopsis integrifolia,(Maxim.) Franch.,1225302,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2502229,,Papaveraceae,1,1,wcvp,0
1240,Melastoma dendrisetosum,1,1068701,Melastoma dendrisetosum,1,species,,,NA,C.Chen,Melastomataceae,Melastoma,Melastoma,1,dendrisetosum,dendrisetosum,1,,,NA,,,NA,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001083257,,Y,Synonym,Melastoma sanguineum,Melastoma sanguineum,Sims,1068702,species,http://www.worldfloraonline.org/taxon/wfo-0001083258,,Melastomataceae,1,1,wfo,0
1241,Melocactus andinus,1,363981,Melocactus andinus,1,species,,,NA,R.Gruber ex N.P.Taylor,Cactaceae,Melocactus,Melocactus,1,andinus,andinus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2359956,,Y,Accepted,Melocactus andinus,Melocactus andinus,R.Gruber ex N.P.Taylor,363981,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2359956,,Cactaceae,1,1,wcvp,0
1242,Melocactus schatzlii,1,1739000,Melocactus schatzlii,1,species,,,NA,H.Till & R.Gruber,Cactaceae,Melocactus,Melocactus,1,schatzlii,schatzlii,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2370305,,Y,Accepted,Melocactus schatzlii,Melocactus schatzlii,H.Till & R.Gruber,1739000,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2370305,,Cactaceae,1,1,wcvp,0
1243,Melochia villosa var. villosa,1,1125325,Melochia villosa var. villosa,1,variety,,,NA,,Malvaceae,Melochia,Melochia,1,villosa,villosa,1,,,NA,var.,villosa,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3259752,,Y,Accepted,Melochia villosa var. villosa,Melochia villosa,,1125325,variety,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3259752,,Malvaceae,1,1,wcvp,0
1244,Memecylon umbellatum,1,1251604,Memecylon umbellatum,1,species,,,NA,Burm.f.,Melastomataceae,Memecylon,Memecylon,1,umbellatum,umbellatum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3018012,,Y,Accepted,Memecylon umbellatum,Memecylon umbellatum,Burm.f.,1251604,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3018012,,Melastomataceae,1,1,wcvp,0
