ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings
1,Abolboda poarchon,1,331776,Abolboda poarchon,1,species,,,NA,Seub.,Xyridaceae,Abolboda,Abolboda,1,poarchon,poarchon,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217329,,Y,Accepted,Abolboda poarchon,Abolboda poarchon,Seub.,331776,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217329,,Xyridaceae,1,1,wcvp,0
2,Abolboda pulchella,1,331784,Abolboda pulchella,1,species,,,NA,Bonpl.,Xyridaceae,Abolboda,Abolboda,1,pulchella,pulchella,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217336,,Y,Accepted,Abolboda pulchella,Abolboda pulchella,Bonpl.,331784,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217336,,Xyridaceae,1,1,wcvp,0
3,Abrus precatorius,1,176359,Abrus precatorius,1,species,,,NA,L.,Fabaceae,Abrus,Abrus,1,precatorius,precatorius,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2610328,,Y,Accepted,Abrus precatorius,Abrus precatorius,L.,176359,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2610328,,Fabaceae,1,1,wcvp,0
4,Acanthus spinosus,1,507221,Acanthus spinosus,1,species,,,NA,L.,Acanthaceae,Acanthus,Acanthus,1,spinosus,spinosus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2615301,,Y,Accepted,Acanthus spinosus,Acanthus spinosus,L.,507221,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2615301,,Acanthaceae,1,1,wcvp,0
5,Achillea ambrosiaca,1,1822066,Achillea ambrosiaca,1,species,,,NA,(Boiss. & Heldr.) Boiss.,Asteraceae,Achillea,Achillea,1,ambrosiaca,ambrosiaca,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3109734,,Y,Accepted,Achillea ambrosiaca,Achillea ambrosiaca,(Boiss. & Heldr.) Boiss.,1822066,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3109734,,Asteraceae,1,1,wcvp,0
6,Achyrantes aspera var indica,0.99125249213133,509495,Achyranthes aspera var. indica,0.99125249213133,variety,,,NA,L.,Amaranthaceae,Achyrantes,Achyranthes,0.90909090909091,aspera,aspera,1,,,NA,var.,indica,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2617484,,Y,Accepted,Achyranthes aspera var. indica,Achyranthes aspera,L.,509495,variety,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2617484,,Amaranthaceae,1,1,wcvp,0
7,Acnistus arborescens,1,1008446,Acnistus arborescens,1,species,,,NA,(L.) Schltdl.,Solanaceae,Acnistus,Acnistus,1,arborescens,arborescens,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2618239,,Y,Synonym,Iochroma arborescens,Iochroma arborescens,(L.) J.M.H.Shaw,1822267,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3221610,,Solanaceae,1,1,wcvp,0
8,Aconitum columbianum,1,510402,Aconitum columbianum,1,species,,,NA,Nutt.,Ranunculaceae,Aconitum,Aconitum,1,columbianum,columbianum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2618552,,Y,Accepted,Aconitum columbianum,Aconitum columbianum,Nutt.,510402,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2618552,,Ranunculaceae,1,1,wcvp,0
9,Aconitum lycoctonum,1,510891,Aconitum lycoctonum,1,species,,,NA,L.,Ranunculaceae,Aconitum,Aconitum,1,lycoctonum,lycoctonum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2619019,,Y,Accepted,Aconitum lycoctonum,Aconitum lycoctonum,L.,510891,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2619019,,Ranunculaceae,1,1,wcvp,0
10,Acosmium dasycarpum,1,162334,Acosmium dasycarpum,1,species,,,NA,(Vogel) Yakovlev,Fabaceae,Acosmium,Acosmium,1,dasycarpum,dasycarpum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2619923,,Y,Synonym,Leptolobium dasycarpum,Leptolobium dasycarpum,Vogel,164659,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2346011,,Fabaceae,1,1,wcvp,0
11,Acourtia runcinata,1,118422,Acourtia runcinata,1,species,,,NA,(D.Don) B.L.Turner,Asteraceae,Acourtia,Acourtia,1,runcinata,runcinata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3037807,,Y,Accepted,Acourtia runcinata,Acourtia runcinata,(D.Don) B.L.Turner,118422,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:3037807,,Asteraceae,1,1,wcvp,0
12,Adansonia digitata,1,512963,Adansonia digitata,1,species,,,NA,L.,Malvaceae,Adansonia,Adansonia,1,digitata,digitata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621135,,Y,Accepted,Adansonia digitata,Adansonia digitata,L.,512963,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621135,,Malvaceae,1,1,wcvp,0
13,Adansonia gibbosa,1,512966,Adansonia gibbosa,1,species,,,NA,(A.Cunn.) Guymer ex D.A.Baum,Malvaceae,Adansonia,Adansonia,1,gibbosa,gibbosa,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621138,,Y,Synonym,Adansonia gregorii,Adansonia gregorii,F.Muell.,512969,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621140,,Malvaceae,1,1,wcvp,0
14,Adansonia grandidieri,1,512967,Adansonia grandidieri,1,species,,,NA,Baill.,Malvaceae,Adansonia,Adansonia,1,grandidieri,grandidieri,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621139,,Y,Accepted,Adansonia grandidieri,Adansonia grandidieri,Baill.,512967,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621139,,Malvaceae,1,1,wcvp,0
15,Adansonia madagascariensis,1,512972,Adansonia madagascariensis,1,species,,,NA,Baill.,Malvaceae,Adansonia,Adansonia,1,madagascariensis,madagascariensis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621144,,Y,Accepted,Adansonia madagascariensis,Adansonia madagascariensis,Baill.,512972,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621144,,Malvaceae,1,1,wcvp,0
16,Adansonia perrieri,1,512975,Adansonia perrieri,1,species,,,NA,Capuron,Malvaceae,Adansonia,Adansonia,1,perrieri,perrieri,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621147,,Y,Accepted,Adansonia perrieri,Adansonia perrieri,Capuron,512975,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621147,,Malvaceae,1,1,wcvp,0
17,Adansonia rubrostipa,1,512976,Adansonia rubrostipa,1,species,,,NA,Jum. & H.Perrier,Malvaceae,Adansonia,Adansonia,1,rubrostipa,rubrostipa,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621148,,Y,Synonym,Adansonia fony var. rubrostipa,Adansonia fony,(Jum. & H.Perrier) H.Perrier,512965,variety,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621137,,Malvaceae,1,1,wcvp,0
18,Adansonia suarecensis,0.98599670627294,512983,Adansonia suarezensis,0.98599670627294,species,,,NA,H.Perrier,Malvaceae,Adansonia,Adansonia,1,suarecensis,suarezensis,0.90909090909091,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621154,,,Accepted,Adansonia suarezensis,Adansonia suarezensis,H.Perrier,512983,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621154,,Malvaceae,1,1,wcvp,0
19,Adansonia za,1,512985,Adansonia za,1,species,,,NA,Baill.,Malvaceae,Adansonia,Adansonia,1,za,za,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621156,,Y,Accepted,Adansonia za,Adansonia za,Baill.,512985,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2621156,,Malvaceae,1,1,wcvp,0
20,Adenophora capillaris,1,813841,Adenophora capillaris,1,species,,,NA,Hemsl.,Campanulaceae,Adenophora,Adenophora,1,capillaris,capillaris,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360216,,Y,Accepted,Adenophora capillaris,Adenophora capillaris,Hemsl.,813841,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360216,,Campanulaceae,1,1,wcvp,0
21,Adenophora jasionifolia,1,813925,Adenophora jasionifolia,1,species,,,NA,Franch.,Campanulaceae,Adenophora,Adenophora,1,jasionifolia,jasionifolia,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360294,,Y,Accepted,Adenophora jasionifolia,Adenophora jasionifolia,Franch.,813925,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360294,,Campanulaceae,1,1,wcvp,0
22,Adenophora khasiana,1,1272186,Adenophora khasiana,1,species,,,NA,(Hook.f. & Thomson) Collett & Hemsl.,Campanulaceae,Adenophora,Adenophora,1,khasiana,khasiana,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360296,,Y,Accepted,Adenophora khasiana,Adenophora khasiana,(Hook.f. & Thomson) Collett & Hemsl.,1272186,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360296,,Campanulaceae,1,1,wcvp,2
23,Adenophora triphylla var japonica,1,1271992,Adenophora triphylla var. japonica,1,variety,,,NA,(Regel.) Hara,Campanulaceae,Adenophora,Adenophora,1,triphylla,triphylla,1,,,NA,var.,japonica,1,,,NA,,,http://www.worldfloraonline.org/taxon/wfo-0001290084,,Y,Accepted,Adenophora triphylla var. japonica,Adenophora triphylla,(Regel.) Hara,1271992,variety,http://www.worldfloraonline.org/taxon/wfo-0001290084,,Campanulaceae,1,1,wfo,0
24,Adonis ramosa,1,514553,Adonis ramosa,1,species,,,NA,Franch.,Ranunculaceae,Adonis,Adonis,1,ramosa,ramosa,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2623193,,Y,Accepted,Adonis ramosa,Adonis ramosa,Franch.,514553,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2623193,,Ranunculaceae,1,1,wcvp,0
25,Aechmea lasseri,1,332524,Aechmea lasseri,1,species,,,NA,L.B.Sm.,Bromeliaceae,Aechmea,Aechmea,1,lasseri,lasseri,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218050,,Y,Accepted,Aechmea lasseri,Aechmea lasseri,L.B.Sm.,332524,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218050,,Bromeliaceae,1,1,wcvp,0
26,Aechmea mariae-reginae,1,332568,Aechmea mariae-reginae,1,species,,,NA,H.Wendl.,Bromeliaceae,Aechmea,Aechmea,1,mariae-reginae,mariae-reginae,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218091,,Y,Accepted,Aechmea mariae-reginae,Aechmea mariae-reginae,H.Wendl.,332568,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218091,,Bromeliaceae,1,1,wcvp,0
27,Aechmea pectinata,1,332647,Aechmea pectinata,1,species,,,NA,Baker,Bromeliaceae,Aechmea,Aechmea,1,pectinata,pectinata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218165,,Y,Accepted,Aechmea pectinata,Aechmea pectinata,Baker,332647,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218165,,Bromeliaceae,1,1,wcvp,0
28,Aechmea vanhoutteana,1,1823042,Aechmea vanhoutteana,1,species,,,NA,(Van Houtte) Mez,Bromeliaceae,Aechmea,Aechmea,1,vanhoutteana,vanhoutteana,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218298,,Y,Accepted,Aechmea vanhoutteana,Aechmea vanhoutteana,(Van Houtte) Mez,1823042,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:218298,,Bromeliaceae,1,1,wcvp,0
29,Agalinis auriculata,1,516018,Agalinis auriculata,1,species,,,NA,(Michx.) S.F.Blake,Orobanchaceae,Agalinis,Agalinis,1,auriculata,auriculata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2625023,,Y,Accepted,Agalinis auriculata,Agalinis auriculata,(Michx.) S.F.Blake,516018,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2625023,,Orobanchaceae,1,1,wcvp,0
30,Agarista revoluta,1,516520,Agarista revoluta,1,species,,,NA,(Spreng.) Hook. ex Nied.,Ericaceae,Agarista,Agarista,1,revoluta,revoluta,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2625516,,Y,Accepted,Agarista revoluta,Agarista revoluta,(Spreng.) Hook. ex Nied.,516520,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2625516,,Ericaceae,1,1,wcvp,0
31,Agave macroacantha,1,746177,Agave macroacantha,1,species,,,NA,Zucc.,Asparagaceae,Agave,Agave,1,macroacantha,macroacantha,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:293969,,Y,Accepted,Agave macroacantha,Agave macroacantha,Zucc.,746177,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:293969,,Asparagaceae,1,1,wcvp,0
32,Ajuga chamaepitys,1,924054,Ajuga chamaepitys,1,species,,,NA,(L.) Schreb.,Lamiaceae,Ajuga,Ajuga,1,chamaepitys,chamaepitys,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5197,,Y,Accepted,Ajuga chamaepitys,Ajuga chamaepitys,(L.) Schreb.,924054,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5197,,Lamiaceae,1,1,wcvp,0
33,Ajuga iva,1,925018,Ajuga iva,1,species,,,NA,(L.) Schreb.,Lamiaceae,Ajuga,Ajuga,1,iva,iva,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5293,,Y,Accepted,Ajuga iva,Ajuga iva,(L.) Schreb.,925018,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:5293,,Lamiaceae,1,1,wcvp,0
34,Alcea biennis,1,518373,Alcea biennis,1,species,,,NA,Winterl,Malvaceae,Alcea,Alcea,1,biennis,biennis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2627634,,Y,Accepted,Alcea biennis,Alcea biennis,Winterl,518373,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2627634,,Malvaceae,1,1,wcvp,0
35,Alkanna tinctoria,1,519225,Alkanna tinctoria,1,species,,,NA,Tausch,Boraginaceae,Alkanna,Alkanna,1,tinctoria,tinctoria,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2628546,,Y,Accepted,Alkanna tinctoria,Alkanna tinctoria,Tausch,519225,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2628546,,Boraginaceae,1,1,wcvp,0
36,Allium neapolitanum,1,748384,Allium neapolitanum,1,species,,,NA,Cirillo,Amaryllidaceae,Allium,Allium,1,neapolitanum,neapolitanum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296083,,Y,Accepted,Allium neapolitanum,Allium neapolitanum,Cirillo,748384,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296083,,Amaryllidaceae,1,1,wcvp,0
37,Allium subhirsutum,1,749041,Allium subhirsutum,1,species,,,NA,L.,Amaryllidaceae,Allium,Allium,1,subhirsutum,subhirsutum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296702,,Y,Accepted,Allium subhirsutum,Allium subhirsutum,L.,749041,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:296702,,Amaryllidaceae,1,1,wcvp,0
38,Alstroemeria aurea,1,750596,Alstroemeria aurea,1,species,,,NA,Graham,Alstroemeriaceae,Alstroemeria,Alstroemeria,1,aurea,aurea,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298198,,Y,Accepted,Alstroemeria aurea,Alstroemeria aurea,Graham,750596,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298198,,Alstroemeriaceae,1,1,wcvp,0
39,Alstroemeria umbellata,1,750889,Alstroemeria umbellata,1,species,,,NA,Meyen,Alstroemeriaceae,Alstroemeria,Alstroemeria,1,umbellata,umbellata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298471,,Y,Accepted,Alstroemeria umbellata,Alstroemeria umbellata,Meyen,750889,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298471,,Alstroemeriaceae,1,1,wcvp,0
40,Alternanthera ficoidea,1,521807,Alternanthera ficoidea,1,species,,,NA,(L.) P.Beauv.,Amaranthaceae,Alternanthera,Alternanthera,1,ficoidea,ficoidea,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2631162,,Y,Accepted,Alternanthera ficoidea,Alternanthera ficoidea,(L.) P.Beauv.,521807,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2631162,,Amaranthaceae,1,1,wcvp,0
41,Alysicarpus vaginalis,1,174667,Alysicarpus vaginalis,1,species,,,NA,(L.) DC.,Fabaceae,Alysicarpus,Alysicarpus,1,vaginalis,vaginalis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2631830,,Y,Accepted,Alysicarpus vaginalis,Alysicarpus vaginalis,(L.) DC.,174667,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2631830,,Fabaceae,1,1,wcvp,0
42,Amborella trichopoda,1,951690,Amborella trichopoda,1,species,,,NA,Baill.,Amborellaceae,Amborella,Amborella,1,trichopoda,trichopoda,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:7867,,Y,Accepted,Amborella trichopoda,Amborella trichopoda,Baill.,951690,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:7867,,Amborellaceae,1,1,wcvp,0
43,Lysimachia arvensis,1,735889,Lysimachia arvensis,1,species,,,NA,(L.) U.Manns & Anderb.,Primulaceae,Lysimachia,Lysimachia,1,arvensis,arvensis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2896568,,Y,Accepted,Lysimachia arvensis,Lysimachia arvensis,(L.) U.Manns & Anderb.,735889,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2896568,,Primulaceae,1,1,wcvp,0
44,Anaxagorea brevipes,1,526668,Anaxagorea brevipes,1,species,,,NA,Benth.,Annonaceae,Anaxagorea,Anaxagorea,1,brevipes,brevipes,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636360,,Y,Accepted,Anaxagorea brevipes,Anaxagorea brevipes,Benth.,526668,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636360,,Annonaceae,1,1,wcvp,0
45,Anaxagorea crassipetala,1,526672,Anaxagorea crassipetala,1,species,,,NA,Hemsl.,Annonaceae,Anaxagorea,Anaxagorea,1,crassipetala,crassipetala,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636364,,Y,Accepted,Anaxagorea crassipetala,Anaxagorea crassipetala,Hemsl.,526672,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636364,,Annonaceae,1,1,wcvp,0
46,Anaxagorea dolichocarpa,1,1674099,Anaxagorea dolichocarpa,1,species,,,NA,Sprague & Sandwith,Annonaceae,Anaxagorea,Anaxagorea,1,dolichocarpa,dolichocarpa,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636365,,Y,Accepted,Anaxagorea dolichocarpa,Anaxagorea dolichocarpa,Sprague & Sandwith,1674099,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636365,,Annonaceae,1,1,wcvp,0
47,Anaxagorea manausensis,1,526684,Anaxagorea manausensis,1,species,,,NA,Timmerman,Annonaceae,Anaxagorea,Anaxagorea,1,manausensis,manausensis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636377,,Y,Accepted,Anaxagorea manausensis,Anaxagorea manausensis,Timmerman,526684,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636377,,Annonaceae,1,1,wcvp,0
48,Anaxagorea phaeocarpa,1,526695,Anaxagorea phaeocarpa,1,species,,,NA,Mart.,Annonaceae,Anaxagorea,Anaxagorea,1,phaeocarpa,phaeocarpa,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636387,,Y,Accepted,Anaxagorea phaeocarpa,Anaxagorea phaeocarpa,Mart.,526695,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636387,,Annonaceae,1,1,wcvp,0
49,Anaxagorea prinoides,1,1762287,Anaxagorea prinoides,1,species,,,NA,(Dunal) A.St.-Hil. ex A.DC.,Annonaceae,Anaxagorea,Anaxagorea,1,prinoides,prinoides,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636388,,Y,Accepted,Anaxagorea prinoides,Anaxagorea prinoides,(Dunal) A.St.-Hil. ex A.DC.,1762287,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636388,,Annonaceae,1,1,wcvp,0
50,Anchusa undulata,1,527017,Anchusa undulata,1,species,,,NA,L.,Boraginaceae,Anchusa,Anchusa,1,undulata,undulata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636698,,Y,Accepted,Anchusa undulata,Anchusa undulata,L.,527017,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636698,,Boraginaceae,1,1,wcvp,0
51,Anchusa variegata,1,1821155,Anchusa variegata,1,species,,,NA,(L.) Lehm.,Boraginaceae,Anchusa,Anchusa,1,variegata,variegata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636714,,Y,Accepted,Anchusa variegata,Anchusa variegata,(L.) Lehm.,1821155,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2636714,,Boraginaceae,1,1,wcvp,0
52,Anemone coronaria,1,528399,Anemone coronaria,1,species,,,NA,L.,Ranunculaceae,Anemone,Anemone,1,coronaria,coronaria,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2638132,,Y,Accepted,Anemone coronaria,Anemone coronaria,L.,528399,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2638132,,Ranunculaceae,1,1,wcvp,0
53,Anemone hortensis,1,528564,Anemone hortensis,1,species,,,NA,L.,Ranunculaceae,Anemone,Anemone,1,hortensis,hortensis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2638287,,Y,Accepted,Anemone hortensis,Anemone hortensis,L.,528564,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2638287,,Ranunculaceae,1,1,wcvp,0
54,Annona crassiflora,1,530910,Annona crassiflora,1,species,,,NA,Mart.,Annonaceae,Annona,Annona,1,crassiflora,crassiflora,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2640830,,Y,Accepted,Annona crassiflora,Annona crassiflora,Mart.,530910,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2640830,,Annonaceae,1,1,wcvp,0
55,Anthyllis hermanniae,1,208895,Anthyllis hermanniae,1,species,,,NA,L.,Fabaceae,Anthyllis,Anthyllis,1,hermanniae,hermanniae,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2641985,,Y,Accepted,Anthyllis hermanniae,Anthyllis hermanniae,L.,208895,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2641985,,Fabaceae,1,1,wcvp,0
56,Anthyllis vulneraria,1,207562,Anthyllis vulneraria,1,species,,,NA,L.,Fabaceae,Anthyllis,Anthyllis,1,vulneraria,vulneraria,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2642105,,Y,Accepted,Anthyllis vulneraria,Anthyllis vulneraria,L.,207562,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2642105,,Fabaceae,1,1,wcvp,0
57,Anticlea occidentalis,1,752338,Anticlea occidentalis,1,species,,,NA,(A.Gray) Zomlefer & Judd,Melanthiaceae,Anticlea,Anticlea,1,occidentalis,occidentalis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299851,,Y,Accepted,Anticlea occidentalis,Anticlea occidentalis,(A.Gray) Zomlefer & Judd,752338,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299851,,Melanthiaceae,1,1,wcvp,0
58,Apinia roxburghii,0.9752518865735,333542,Alpinia roxburghii,0.9752518865735,species,,,NA,Sweet,Zingiberaceae,Apinia,Alpinia,0.85714285714286,roxburghii,roxburghii,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:219021,,Y,Accepted,Alpinia roxburghii,Alpinia roxburghii,Sweet,333542,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:219021,,Zingiberaceae,1,1,wcvp,0
