og_species,sym_all,sources
Bulbine angustifolia,actinomorphic,2023TRY_350
Bulbine bulbosa,actinomorphic,stephens2021
Bulbine favosa,actinomorphic,2023TRY_350
Bulbine frutescens,actinomorphic,2023TRY_350
Bulbine latifolia,actinomorphic,2023TRY_350
Bulbine mesembryanthemoides,actinomorphic,2023TRY_350
Bulbine narcissifolia,actinomorphic,2023TRY_350
Bulbine praemorsa,actinomorphic,2023TRY_350
Bulbine succulenta,actinomorphic,jolyandschoen2021
Bulbinella barkerae,actinomorphic,2023TRY_350
Bulbinella cauda-felis,actinomorphic,2023TRY_350
Bulbinella graminifolia,actinomorphic,2023TRY_350
Bulbinella nutans,actinomorphic,2023TRY_350
Bulbinella trinervis,actinomorphic,2023TRY_350
Bulbinella triquetra,actinomorphic,2023TRY_350
Bulbophyllum lupulinum,zygomorphic,2023TRY_350
Bulbophyllum saltatorium,zygomorphic,2023TRY_350
Bulbophyllum scaberulum,zygomorphic,2023TRY_350
Bulbophyllum schinzianum,zygomorphic,2023TRY_350
Bulbophyllum stolzii,zygomorphic,2023TRY_350
Bulbostylis hensii,zygomorphic,2023TRY_350
Bulbostylis pseudoperennis,zygomorphic,2023TRY_350
Bulnesia retamo,zygomorphic,jolyandschoen2021
Bunchosia media,actinomorphic,yoderetal2020
Bupleurum americanum,actinomorphic,jolyandschoen2021
Bupleurum longifolium,actinomorphic,jolyandschoen2021
Bupleurum ranunculoides,actinomorphic,jolyandschoen2021
Bupleurum stellatum,actinomorphic,jolyandschoen2021
Burchardia umbellata,actinomorphic,stephens2021
Burchellia bubalina,actinomorphic,2023TRY_350
Burkea africana,actinomorphic,2023TRY_350
Burmannia biflora,actinomorphic,jolyandschoen2021
Burmannia juncea,actinomorphic,stephens2021
Burmannia madagascariensis,actinomorphic,2023TRY_350
Burnatia enneandra,actinomorphic,2023TRY_350
Bursaria occidentalis,actinomorphic,stephens2021
Bursaria spinosa,actinomorphic,stephens2021
Bursera graveolens,actinomorphic,yoderetal2020
Bursera simaruba,actinomorphic,yoderetal2020
Butomopsis latifolia,actinomorphic,2023TRY_350
Butomus umbellatus,actinomorphic,jolyandschoen2021
Buxus sempervirens,actinomorphic,jolyandschoen2021
Byblis liniflora,actinomorphic,jolyandschoen2021
Byrsanthus brownii,actinomorphic,2023TRY_350
Byrsonia coriacea,actinomorphic,yoderetal2020
Byrsonima crassifolia,zygomorphic,jolyandschoen2021
Byrsonima gardnerana,actinomorphic,yoderetal2020
Byrsonima sp1 M_PL_040,actinomorphic,yoderetal2020
Byrsonima spicata,actinomorphic,yoderetal2020
Cabomba caroliniana,actinomorphic,jolyandschoen2021
Cacabus miersii,actinomorphic,yoderetal2020
Cacalia adenostyloides,actinomorphic,yoderetal2020
Cacalia atriplicifolia,actinomorphic,yoderetal2020
Cacalia delphiniifolia,actinomorphic,yoderetal2020
Cacalia hastata farfaraefolia,actinomorphic,yoderetal2020
Cacalia reniformis,actinomorphic,yoderetal2020
Cacalia tuberosa,actinomorphic,yoderetal2020
Caccinia strigosa,zygomorphic,jolyandschoen2021
Cadaba aphylla,zygomorphic,2023TRY_350
Cadaba farinosa,zygomorphic,2023TRY_350
Cadaba kirkii,actinomorphic zygomorphic,jolyandschoen2021 2023TRY_350
Cadaba schroeppelii,actinomorphic,2023TRY_350
Caesalpinia decapetala,zygomorphic,jolyandschoen2021 2023TRY_350
Caesalpinia gilliesii,zygomorphic,jolyandschoen2021
Caesalpinia pearsoni,zygomorphic,2023TRY_350
Caesalpinia pulcherrima,zygomorphic,jolyandschoen2021 yoderetal2020 2023TRY_350
Caesalpinia pyramidalis,zygomorphic,yoderetal2020
Caesia calliantha,actinomorphic,stephens2021
Caesia capensis,actinomorphic,2023TRY_350
Caesia contorta,actinomorphic,2023TRY_350
Caesia sp. Wongan (K.F.Kenneally 8820),actinomorphic,stephens2021
Caiophora coronata,actinomorphic,yoderetal2020
Cajanus cajan,zygomorphic,2023TRY_350
Cajanus kerstingii,zygomorphic,2023TRY_350
Cajanus latisepalus,zygomorphic,stephens2021
Cajanus marmoratus,zygomorphic,stephens2021
Caladenia capillata,zygomorphic,stephens2021
Caladenia flava,zygomorphic,stephens2021
Caladenia fuscata,zygomorphic,stephens2021
Caladenia major,zygomorphic,stephens2021
Caladenia nana,zygomorphic,stephens2021
Caladenia reticulata,zygomorphic,stephens2021
Caladenia tentaculata,zygomorphic,stephens2021
Caladium bicolor,actinomorphic,2023TRY_350
Calamus deerratus,actinomorphic,2023TRY_350
Calandrinia affinis,actinomorphic,yoderetal2020
Calandrinia baccata,actinomorphic,stephens2021
Calandrinia balonensis,actinomorphic,stephens2021
Calandrinia caespitosa,actinomorphic,yoderetal2020
Calandrinia calyptrata,actinomorphic,stephens2021
Calandrinia dianthoides,actinomorphic,yoderetal2020
Calandrinia eremaea,actinomorphic,stephens2021
Calandrinia flava,actinomorphic,stephens2021
Calandrinia granulifera,actinomorphic,stephens2021
Calandrinia occulta,actinomorphic,yoderetal2020
Calandrinia picta,actinomorphic,yoderetal2020
Calandrinia polyandra,actinomorphic,stephens2021
Calandrinia prostrata,actinomorphic,jolyandschoen2021
Calandrinia ptychosperma,actinomorphic,stephens2021
Calandrinia pumila,actinomorphic,stephens2021
Calandrinia schistorhiza,actinomorphic,stephens2021
Calandrinia sericea,actinomorphic,yoderetal2020
Calandrinia sp. Truncate capsules (A.Markey & S.Dillon 3474),actinomorphic,stephens2021
Calandrinia stagnensis,actinomorphic,stephens2021
Calandrinia uniflora,actinomorphic,stephens2021
Calandrinia uspallatensis,actinomorphic,yoderetal2020
Calanthe sylvatica,zygomorphic,2023TRY_350
Calathea micans,zygomorphic,jolyandschoen2021
Calathea zingiberea,zygomorphic,yoderetal2020
Calceolaria arac,zygomorphic,yoderetal2020
Calceolaria arachnoides,zygomorphic,yoderetal2020
Calceolaria biflora,zygomorphic,yoderetal2020
Calceolaria crenatiflora,zygomorphic,yoderetal2020
Calceolaria indet,zygomorphic,yoderetal2020
Calceolaria montana,zygomorphic,yoderetal2020
Caldcluvia paniculata,actinomorphic,yoderetal2020
Calea lucidivenia,actinomorphic,yoderetal2020
Calea urticifolia,actinomorphic,2023TRY_350
Calectasia intermedia,actinomorphic,jolyandschoen2021
Calendula arvensis,actinomorphic,yoderetal2020
Calepina irregularis,zygomorphic,jolyandschoen2021
Calicorema capitata,actinomorphic,2023TRY_350
Calliandra bijuga,actinomorphic,2023TRY_350
Calliandra surinamensis,actinomorphic,2023TRY_350
Calliandra tergemina,actinomorphic,yoderetal2020
Callianthe rufinerva,actinomorphic,yoderetal2020
Callicarpa dichotoma,actinomorphic,jolyandschoen2021
Callicarpa japonica,zygomorphic,yoderetal2020
Callichilia subsessilis,actinomorphic,2023TRY_350
Callicoma serratifolia,actinomorphic,stephens2021
Callisia fragrans,actinomorphic,jolyandschoen2021
Callistemon citrinus,actinomorphic,2023TRY_350
Callistemon phoeniceus,actinomorphic,stephens2021
Callistemon viminalis,actinomorphic,2023TRY_350
Callistephus chinensis,actinomorphic,jolyandschoen2021
Calluna vulgaris,actinomorphic,yoderetal2020
Calobota sericea,zygomorphic,2023TRY_350
Calocephalus beardii,actinomorphic,stephens2021
Calocephalus francisii,actinomorphic,stephens2021
Calocephalus knappii,actinomorphic,stephens2021
Calocephalus platycephalus,actinomorphic,stephens2021
Calochortus gunnisoni,actinomorphic,yoderetal2020
Calochortus nuttallii,actinomorphic,jolyandschoen2021
Caloncoba brevipes,actinomorphic,2023TRY_350
Caloncoba crepiniana,actinomorphic,2023TRY_350
Caloncoba echinata,actinomorphic,2023TRY_350
Caloncoba glauca,actinomorphic,2023TRY_350
Caloncoba welwitschii,actinomorphic,2023TRY_350
Calophyllum eputamen,actinomorphic,yoderetal2020
Calophyllum inophyllum,actinomorphic,2023TRY_350
Calophyllum soulattri,actinomorphic,jolyandschoen2021
Calopogon pulchellus,zygomorphic,yoderetal2020
Calopogon tuberosus,zygomorphic,jolyandschoen2021
Calopogonium mucunoides,zygomorphic,2023TRY_350
Calostemma luteum,actinomorphic,stephens2021
Calostemma purpureum,actinomorphic,stephens2021
Calostephane divaricata,actinomorphic,2023TRY_350
Calothamnus blepharospermus,actinomorphic,stephens2021
Calothamnus chrysanthereus,actinomorphic,stephens2021
Calothamnus formosus,actinomorphic,stephens2021
Calothamnus gilesii,actinomorphic,stephens2021
Calothamnus glaber,actinomorphic,stephens2021
Calothamnus phellosus,actinomorphic,stephens2021
Calothamnus quadrifidus,actinomorphic,stephens2021
Calotis breviradiata,actinomorphic zygomorphic,stephens2021
Calotis cuneata,actinomorphic zygomorphic,stephens2021
Calotis cuneifolia,actinomorphic zygomorphic,stephens2021
Calotis cymbacantha,actinomorphic zygomorphic,stephens2021
Calotis erinacea,actinomorphic zygomorphic,stephens2021
Calotis hispidula,actinomorphic zygomorphic,stephens2021
Calotis multicaulis,actinomorphic zygomorphic,stephens2021
Calotis plumulifera,actinomorphic zygomorphic,stephens2021
Calotropis gigantea,actinomorphic,2023TRY_350
Calotropis procera,actinomorphic,2023TRY_350
Calpocalyx dinklagei,actinomorphic,2023TRY_350
Caltha leptosepala,actinomorphic,yoderetal2020
Caltha palustris,actinomorphic,yoderetal2020
Calycanthus floridus,actinomorphic,jolyandschoen2021
Calycopeplus paucifolius,actinomorphic,stephens2021
Calyptrochilum christyanum,zygomorphic,2023TRY_350
Calyptrochilum emarginatum,zygomorphic,2023TRY_350
Calyptrotheca somalensis,zygomorphic,2023TRY_350
Calystegia japonica,actinomorphic,yoderetal2020
Calystegia sepium,actinomorphic,jolyandschoen2021 yoderetal2020
Calytrix achaeta,actinomorphic,stephens2021
Calytrix birdii,actinomorphic,stephens2021
Calytrix brevifolia,actinomorphic,stephens2021
Calytrix breviseta,actinomorphic,stephens2021
Calytrix brownii,actinomorphic,stephens2021
Calytrix carinata,actinomorphic,stephens2021
Calytrix creswellii,actinomorphic,stephens2021
Calytrix exstipulata,actinomorphic,stephens2021
Calytrix flavescens,actinomorphic,stephens2021
Calytrix formosa,actinomorphic,stephens2021
Calytrix fraseri,actinomorphic,stephens2021
Calytrix glaberrima,actinomorphic,stephens2021
Calytrix harvestiana,actinomorphic,stephens2021
Calytrix leschenaultii,actinomorphic,stephens2021
Calytrix sp. Paynes Find (F. & J.Hort 1188),actinomorphic,stephens2021
Calytrix strigosa,actinomorphic,stephens2021
Calytrix tetragona,actinomorphic,stephens2021
Calytrix violacea,actinomorphic,stephens2021
Camassia esculenta,actinomorphic,yoderetal2020
Cambessedesia espora,actinomorphic,jolyandschoen2021
Cambessedesia regnelliana,zygomorphic,jolyandschoen2021
Camelina sativa,actinomorphic,jolyandschoen2021
Camellia japonica,actinomorphic,yoderetal2020
Camellia sasanqua,actinomorphic,yoderetal2020
Camellia sinensis,actinomorphic,jolyandschoen2021 2023TRY_350
Camoensia scandens,zygomorphic,2023TRY_350
Campanula afra,actinomorphic,jolyandschoen2021
Campanula americana,actinomorphic,jolyandschoen2021 yoderetal2020
Campanula aurita,actinomorphic,jolyandschoen2021
Campanula barbata,actinomorphic,jolyandschoen2021
Campanula bononiensis,actinomorphic,jolyandschoen2021
Campanula bravensis,actinomorphic,2023TRY_350
Campanula carpatica,actinomorphic,jolyandschoen2021
Campanula cenisia,actinomorphic,jolyandschoen2021
Campanula cervicaria,actinomorphic,jolyandschoen2021
Campanula cespitosa,actinomorphic,jolyandschoen2021
Campanula cochleariifolia,actinomorphic,jolyandschoen2021
Campanula dichotoma,actinomorphic,jolyandschoen2021 2023TRY_350
Campanula drabifolia,actinomorphic,yoderetal2020
Campanula elatines,actinomorphic,jolyandschoen2021
Campanula erinus,actinomorphic,jolyandschoen2021
Campanula excisa,actinomorphic,jolyandschoen2021
Campanula gieseckiana,actinomorphic,yoderetal2020
Campanula giesekiana,actinomorphic,jolyandschoen2021
Campanula glomerata,actinomorphic,jolyandschoen2021
Campanula jacobaea,actinomorphic,2023TRY_350
Campanula kremeri,actinomorphic,jolyandschoen2021
Campanula lactiflora,actinomorphic,jolyandschoen2021
Campanula lasiocarpa,actinomorphic,jolyandschoen2021
Campanula latifolia,actinomorphic,jolyandschoen2021
Campanula lingulata,actinomorphic,jolyandschoen2021
Campanula lusitanica,actinomorphic,jolyandschoen2021
Campanula medium,actinomorphic,jolyandschoen2021
Campanula microdonta,actinomorphic,jolyandschoen2021
Campanula patula,actinomorphic,jolyandschoen2021
Campanula persicifolia,actinomorphic,jolyandschoen2021
Campanula pulla,actinomorphic,jolyandschoen2021
Campanula punctata,actinomorphic,jolyandschoen2021 yoderetal2020
Campanula pyramidalis,actinomorphic,jolyandschoen2021
Campanula rapunculoides,actinomorphic,jolyandschoen2021
Campanula rapunculus,actinomorphic,jolyandschoen2021
Campanula rhomboidalis,actinomorphic,jolyandschoen2021
Campanula rotundifolia,actinomorphic,jolyandschoen2021 yoderetal2020
Campanula scheuchzeri,actinomorphic,jolyandschoen2021
Campanula scouleri,actinomorphic,jolyandschoen2021
Campanula sibirica,actinomorphic,jolyandschoen2021
Campanula spicata,actinomorphic,jolyandschoen2021
Campanula thyrsoides,actinomorphic,jolyandschoen2021
Campanula trachelium,actinomorphic,jolyandschoen2021
Campnosperma,actinomorphic,yoderetal2020
Campnosperma seychellarum,actinomorphic,yoderetal2020
Campsis grandiflora,actinomorphic,yoderetal2020
Campsis radicans,zygomorphic,jolyandschoen2021
Camptotheca acuminata,actinomorphic,jolyandschoen2021
Campylospermum calanthum,actinomorphic,2023TRY_350
Campylospermum dybovskii,actinomorphic,2023TRY_350
Campylospermum excavatum,actinomorphic,2023TRY_350
Campylospermum flavum,actinomorphic,2023TRY_350
Campylospermum glaberrimum,actinomorphic,2023TRY_350
Campylospermum laxiflorum,actinomorphic,2023TRY_350
Campylospermum oliveranum,actinomorphic,2023TRY_350
Campylospermum paucinervatum,actinomorphic,2023TRY_350
Campylospermum reticulatum,actinomorphic,2023TRY_350
Campylospermum squamosum,actinomorphic,2023TRY_350
Campylospermum sulcatum,actinomorphic,2023TRY_350
Campylostemon angolense,actinomorphic,2023TRY_350
Campynema lineare,actinomorphic,jolyandschoen2021
Cananga odorata,actinomorphic,jolyandschoen2021 2023TRY_350
Canarina eminii,actinomorphic,2023TRY_350
Canarium australianum,actinomorphic,stephens2021
Canarium schweinfurtii,actinomorphic,2023TRY_350
Canavalia africana,zygomorphic,2023TRY_350
Canavalia ensiformis,zygomorphic,2023TRY_350
Canavalia gladiata,zygomorphic,2023TRY_350
Canavalia lineata,zygomorphic,yoderetal2020
Canavalia rosea,zygomorphic,2023TRY_350
Canella winterana,actinomorphic,jolyandschoen2021
Canistrum fragrans,actinomorphic,jolyandschoen2021
Canistrum perplexum,actinomorphic,yoderetal2020
Canistrum triangulare,actinomorphic,yoderetal2020
Canna glauca,zygomorphic,jolyandschoen2021 yoderetal2020
Canna indica,actinomorphic,jolyandschoen2021
Canna paniculata,zygomorphic,yoderetal2020
Canna sp1 M_PL_026,zygomorphic,yoderetal2020
Cannabis sativa,actinomorphic,jolyandschoen2021
Canscora alata,actinomorphic,2023TRY_350
Canscora diffusa,actinomorphic zygomorphic,jolyandschoen2021 2023TRY_350
Canscora sanjappae,actinomorphic,jolyandschoen2021
Cansjera rheedei,actinomorphic,jolyandschoen2021
Canthium bibracteatum,actinomorphic,yoderetal2020
Canthium ciliatum,actinomorphic,2023TRY_350
Canthium oligocarpum,actinomorphic,2023TRY_350
Canthium_b,actinomorphic,yoderetal2020
Canthium_c,actinomorphic,yoderetal2020
Cantua buxifolia,zygomorphic,jolyandschoen2021
Cantua candelilla,actinomorphic,jolyandschoen2021
Cantua pyrifolia,actinomorphic,jolyandschoen2021
Caperonia pallustris,actinomorphic,yoderetal2020
Caperonia palustris,actinomorphic,jolyandschoen2021
Caperonia serrata,actinomorphic,2023TRY_350
Capnoides aureum,zygomorphic,yoderetal2020
Capparis canescens,actinomorphic,stephens2021
Capparis cartilaginea,zygomorphic,2023TRY_350
Capparis decidua,zygomorphic,2023TRY_350
Capparis erythrocarpos,actinomorphic,2023TRY_350
Capparis ferruginea,actinomorphic,yoderetal2020
Capparis jacobinae,actinomorphic,yoderetal2020
Capparis lasiantha,zygomorphic,stephens2021
Capparis mitchellii,actinomorphic,stephens2021
Capparis ovata,actinomorphic,yoderetal2020
Capparis sepiaria,actinomorphic,2023TRY_319 2023TRY_350
Capparis spinosa,zygomorphic,jolyandschoen2021
Capparis tomentosa,actinomorphic zygomorphic,2023TRY_350
Capparis umbonata,actinomorphic,stephens2021
Capparis yco,actinomorphic,yoderetal2020
Capraria biflora,zygomorphic,yoderetal2020
Capsella bursa-pastoris,actinomorphic,yoderetal2020
Capsicum annuum,actinomorphic,jolyandschoen2021 2023TRY_350
Capsicum chinense,actinomorphic,2023TRY_350
Capsicum frutescens,actinomorphic,yoderetal2020
Carallia brachiata,actinomorphic,jolyandschoen2021
Carapa procera,actinomorphic,2023TRY_350
Cardamine africana,actinomorphic,2023TRY_350
Cardamine angustata angustata,actinomorphic,yoderetal2020
Cardamine bulbosa,actinomorphic,yoderetal2020
Cardamine chenopodifolia,actinomorphic,jolyandschoen2021
Cardamine hirsuta,actinomorphic,2023TRY_350
Cardamine lilacina,zygomorphic,stephens2021
Cardamine nivalis,actinomorphic,yoderetal2020
Cardamine obliqua,actinomorphic,2023TRY_350
Cardamine regeliana,actinomorphic,yoderetal2020
Cardamine tanakae,actinomorphic,yoderetal2020
Cardamine tyrata,actinomorphic,yoderetal2020
Cardaria draba,actinomorphic,yoderetal2020
Cardiandra alternifolia,actinomorphic,yoderetal2020
Cardiopteris quinqueloba,actinomorphic,jolyandschoen2021
Cardiospermum corindum,actinomorphic,yoderetal2020
Cardiospermum galapageium,actinomorphic,yoderetal2020
Cardiospermum grandiflorum,zygomorphic,2023TRY_350
Cardiospermum halicacabum,zygomorphic,jolyandschoen2021 2023TRY_350
Carduus acanthoides,actinomorphic,jolyandschoen2021 yoderetal2020
Carduus crispus,actinomorphic,jolyandschoen2021
Carduus defloratus,actinomorphic,jolyandschoen2021
Carduus hookerianus,actinomorphic,yoderetal2020
Carduus keniensis,actinomorphic,2023TRY_350
Carduus leptacanthus,actinomorphic,2023TRY_350
Carduus martinezii,actinomorphic zygomorphic,2023TRY_350
Carduus nutans,actinomorphic,jolyandschoen2021
Carduus pycnocephalus,actinomorphic,yoderetal2020
Carduus schimperi,actinomorphic zygomorphic,2023TRY_350
Carduus tenuiflorus,actinomorphic,yoderetal2020 stephens2021
Cardwellia sublimis,zygomorphic,jolyandschoen2021
Carex sp,actinomorphic,2023TRY_319
Carica papaya,actinomorphic zygomorphic,jolyandschoen2021 yoderetal2020 2023TRY_350
Carissa bispinosa,actinomorphic,2023TRY_319 2023TRY_350
Carissa macrocarpa,actinomorphic,2023TRY_350
Carissa spinarum,actinomorphic,stephens2021 2023TRY_350
Carlemannia tetragona,zygomorphic,jolyandschoen2021
Carlina acaulis,actinomorphic,jolyandschoen2021
Carlina vulgaris,actinomorphic,jolyandschoen2021
Carludovica palmata,actinomorphic,jolyandschoen2021
Carmichaelia angusta,zygomorphic,yoderetal2020
Carolus chasei,actinomorphic,yoderetal2020
Carpanthea pomeridiana,actinomorphic,2023TRY_350
Carpesium divaricatum,actinomorphic,yoderetal2020
Carpha glomerata,actinomorphic,2023TRY_350
Carpobrotus acinaciformis,actinomorphic,2023TRY_319 2023TRY_350
Carpobrotus edulis,actinomorphic,2023TRY_350
Carpobrotus modestus,actinomorphic,stephens2021
Carpobrotus rossii,actinomorphic,stephens2021
Carpobrotus sp1 M_PL_058,actinomorphic,yoderetal2020
Carpobrotus virescens,actinomorphic,stephens2021
Carpodetus serratus,actinomorphic,jolyandschoen2021
Carpolobia alba,zygomorphic,2023TRY_350
Carrichtera annua,zygomorphic,stephens2021
Carthamus duvauxii,actinomorphic,2023TRY_350
Carthamus fruticosus,actinomorphic,2023TRY_350
Carthamus lanatus,actinomorphic,stephens2021
Carthamus rhaponticoides,actinomorphic,2023TRY_350
Carthamus tinctorius,actinomorphic,jolyandschoen2021
Cartonema baileyi,actinomorphic,stephens2021
Cartonema spicatum,actinomorphic,stephens2021
Carum carvi,actinomorphic,jolyandschoen2021
Carvalhoa campanulata,actinomorphic,2023TRY_350
Caryocar glabrum,actinomorphic,jolyandschoen2021
Caryopteris divaricata,zygomorphic,yoderetal2020
Caryota mitis,actinomorphic,jolyandschoen2021
Cascabela thevetia,actinomorphic,2023TRY_350
Cascabela thevetioides,actinomorphic,2023TRY_350
Casearia barteri,actinomorphic,2023TRY_350
Casearia coriacea,actinomorphic,yoderetal2020
Casearia sylvestris,actinomorphic,jolyandschoen2021
Casimiroa edulis,actinomorphic,2023TRY_350
Cassia abbreviata,zygomorphic,2023TRY_350
Cassia chamaecrista,zygomorphic,yoderetal2020
Cassia marilandica,actinomorphic,yoderetal2020
Cassia occidentalis,zygomorphic,yoderetal2020
Cassia picta,zygomorphic,yoderetal2020
Cassia sieberiana,zygomorphic,2023TRY_350
Cassia sp1 M_PL_026,zygomorphic,yoderetal2020
Cassia sp1 M_PL_035,zygomorphic,yoderetal2020
Cassine orientalis,actinomorphic,jolyandschoen2021
Cassine paragua,actinomorphic,2023TRY_319
Cassine peragua,actinomorphic,2023TRY_350
Cassine sp,actinomorphic,2023TRY_319
Cassinia complanata,actinomorphic,stephens2021
Cassinia fulvida,actinomorphic,yoderetal2020
Cassinia laevis,actinomorphic,stephens2021
Cassinia vauvilliersi,actinomorphic,yoderetal2020
Cassinia vauvilliersii,actinomorphic,yoderetal2020
Cassinopsis ilicifolia,actinomorphic,2023TRY_319
Cassiope hypnoides,actinomorphic,yoderetal2020
Cassiope tetragona,actinomorphic,jolyandschoen2021 yoderetal2020
Cassipourea barteri,actinomorphic,2023TRY_350
Cassipourea carringtoniana,actinomorphic,2023TRY_350
Cassipourea congensis,actinomorphic,2023TRY_350
Cassipourea lanceolata,actinomorphic,jolyandschoen2021
Cassipourea ruwensorensis,actinomorphic,2023TRY_350
Cassytha aurea,actinomorphic,stephens2021
Cassytha capillaris,actinomorphic,stephens2021
Cassytha filiformis,actinomorphic,stephens2021 2023TRY_350
Cassytha flindersii,actinomorphic,stephens2021
Cassytha glabella,actinomorphic,stephens2021
Cassytha melantha,actinomorphic,stephens2021
Cassytha nodiflora,actinomorphic,stephens2021
Cassytha peninsularis,actinomorphic,stephens2021
Cassytha pomiformis,actinomorphic,stephens2021
Cassytha pubescens,actinomorphic,stephens2021
Cassytha racemosa,actinomorphic,stephens2021
Cassytha rufa,actinomorphic,stephens2021
Castalia tuberosa,actinomorphic,yoderetal2020
Castanea crenata,zygomorphic,yoderetal2020
Castanopsis sieboldii,zygomorphic,yoderetal2020
Castela galapageia,actinomorphic,yoderetal2020
Castilleia miniata,zygomorphic,yoderetal2020
Castilleja coccinea,zygomorphic,yoderetal2020
Castilleja miniata,zygomorphic,jolyandschoen2021
Castilleja pallida,zygomorphic,jolyandschoen2021
Castilleja scorzonerifolia,zygomorphic,yoderetal2020
Castilleja tenuiflora,zygomorphic,yoderetal2020
Catalpa speciosa,zygomorphic,jolyandschoen2021
Catananche arenaria,actinomorphic zygomorphic,2023TRY_350
Catananche caerulea,actinomorphic zygomorphic,2023TRY_350
Catananche caespitosa,actinomorphic zygomorphic,2023TRY_350
Catananche lutea,actinomorphic,jolyandschoen2021
Catasetum discolor,zygomorphic,yoderetal2020
Catha edulis,actinomorphic,2023TRY_350
Catharanthus roseus,actinomorphic,yoderetal2020 2023TRY_350
Cathormion umbellatum,actinomorphic,stephens2021
Catophractes alexandri,actinomorphic,2023TRY_350
Cattleya elongata,zygomorphic,jolyandschoen2021
Cattleya tenuis,zygomorphic,jolyandschoen2021
Catunaregam nilotica,actinomorphic,2023TRY_350
Catunaregam obovata,actinomorphic,2023TRY_350
Catunaregam pentandra,actinomorphic,2023TRY_350
Catunaregam spinosa,actinomorphic,2023TRY_350
Caucalis platycarpos,actinomorphic,jolyandschoen2021
Caulokaempferia coenobialis,zygomorphic,jolyandschoen2021
Caulophyllum thalictroides,actinomorphic,jolyandschoen2021 yoderetal2020
Cavendishia allenii,actinomorphic,jolyandschoen2021
Cavendishia atroviolacea,actinomorphic,jolyandschoen2021
Cavendishia axillaris,actinomorphic,jolyandschoen2021
Cavendishia bracteata,actinomorphic,jolyandschoen2021
Cavendishia callista,actinomorphic,jolyandschoen2021
Cavendishia capitulata,actinomorphic,jolyandschoen2021
Cavendishia chiriquiensis,actinomorphic,jolyandschoen2021
Cavendishia ciliata,actinomorphic,jolyandschoen2021
Cavendishia complectens,actinomorphic,jolyandschoen2021
Cavendishia confertiflora,actinomorphic,jolyandschoen2021
Cavendishia darienensis,actinomorphic,jolyandschoen2021
Cavendishia endresii,actinomorphic,jolyandschoen2021
Cavendishia fusiformis,actinomorphic,jolyandschoen2021
Cavendishia lactiviscida,actinomorphic,jolyandschoen2021
Cavendishia laurifolia,actinomorphic,jolyandschoen2021
Cavendishia megabracteata,actinomorphic,jolyandschoen2021
Cavendishia melastomoides,actinomorphic,jolyandschoen2021
Cavendishia panamensis,actinomorphic,jolyandschoen2021
Cavendishia pseudostenophylla,actinomorphic,jolyandschoen2021
Cavendishia pubescens,actinomorphic,jolyandschoen2021
Cavendishia quercina,actinomorphic,jolyandschoen2021
Cavendishia quereme,actinomorphic,jolyandschoen2021
Cavendishia revoluta,actinomorphic,jolyandschoen2021
Cavendishia santafeensis,actinomorphic,jolyandschoen2021
Cavendishia stenophylla,actinomorphic,jolyandschoen2021
Cavendishia subfasciculata,actinomorphic,jolyandschoen2021
Cavendishia talamancensis,actinomorphic,jolyandschoen2021
Cavendishia wercklei,actinomorphic,jolyandschoen2021
Cayratia gracilis,actinomorphic,2023TRY_350
Cayratia japonica,actinomorphic,yoderetal2020 2023TRY_350
Ceanothus americanus,actinomorphic,yoderetal2020
Ceanothus sanguineus,actinomorphic,jolyandschoen2021
Ceballosia fruticosa,actinomorphic,yoderetal2020
Cedrela odorata,actinomorphic,2023TRY_350
Cedronella canariensis,zygomorphic,jolyandschoen2021 yoderetal2020
Cedrus atlantica,zygomorphic,2023TRY_350
Ceiba aesculifolia,actinomorphic,yoderetal2020
Ceiba glaziovii,actinomorphic,yoderetal2020
Ceiba pentandra,actinomorphic,2023TRY_350
Celastrus orbiculatus,actinomorphic,jolyandschoen2021
Celastrus scandens,actinomorphic,jolyandschoen2021 yoderetal2020
Celmisia armstrongii,actinomorphic,yoderetal2020
Celmisia asteliifolia,actinomorphic,jolyandschoen2021
Celmisia coriacea,actinomorphic,jolyandschoen2021 yoderetal2020
Celmisia discolor,actinomorphic,yoderetal2020
Celmisia gracilenta,actinomorphic,yoderetal2020
Celmisia hectori,actinomorphic,jolyandschoen2021
Celmisia laricifolia,actinomorphic,yoderetal2020
Celmisia longifolia,actinomorphic,yoderetal2020
Celmisia lyalii,actinomorphic,yoderetal2020
Celmisia petiolata,actinomorphic,yoderetal2020
Celmisia pugioniformis,actinomorphic zygomorphic,stephens2021
Celmisia sessiliflora,actinomorphic,jolyandschoen2021 yoderetal2020
Celmisia spectabilis,actinomorphic,yoderetal2020
Celmisia tomentella,actinomorphic zygomorphic,stephens2021
Celosia argentea,actinomorphic,jolyandschoen2021 2023TRY_350
Celtis mildbraedii,actinomorphic,2023TRY_350
Celtis philippensis,actinomorphic,stephens2021 2023TRY_350
Celtis tessmannii,actinomorphic,2023TRY_350
Celtis tetrandra,actinomorphic,jolyandschoen2021
Celtis zenkeri,actinomorphic,2023TRY_350
Centaurea aspera,actinomorphic,jolyandschoen2021
Centaurea aspera subsp. gentilii,actinomorphic,2023TRY_350
Centaurea calcitrapa,actinomorphic,2023TRY_350
Centaurea jacea,actinomorphic,jolyandschoen2021 yoderetal2020
Centaurea maroccana,actinomorphic,2023TRY_350
