og_species,sym_all,sources
Acacia lasiocalyx,actinomorphic,stephens2021
Acacia lasiocarpa,actinomorphic,stephens2021
Acacia legnota,actinomorphic,stephens2021
Acacia leiocalyx,actinomorphic,stephens2021
Acacia leiophylla,actinomorphic,stephens2021
Acacia leptocarpa,actinomorphic,stephens2021
Acacia leptoloba,actinomorphic,stephens2021
Acacia leptostachya,actinomorphic,stephens2021
Acacia leucolobia,actinomorphic,stephens2021
Acacia ligulata,actinomorphic,stephens2021
Acacia limbata,actinomorphic,stephens2021
Acacia lineata,actinomorphic,stephens2021
Acacia lineolata,actinomorphic,stephens2021
Acacia linifolia,actinomorphic,stephens2021
Acacia loderi,actinomorphic,stephens2021
Acacia longifolia,actinomorphic,stephens2021
Acacia longispinea,actinomorphic,stephens2021
Acacia lycopodiifolia,actinomorphic,stephens2021
Acacia lysiphloia,actinomorphic,stephens2021
Acacia macracantha,actinomorphic,yoderetal2020
Acacia macraneura,actinomorphic,stephens2021
Acacia maitlandii,actinomorphic,stephens2021
Acacia mangium,actinomorphic,2023TRY_350
Acacia mariae,actinomorphic,stephens2021
Acacia marramamba,actinomorphic,stephens2021
Acacia mearnsii,actinomorphic,stephens2021
Acacia melanoxylon,actinomorphic,stephens2021
Acacia melleodora,actinomorphic,stephens2021
Acacia melvillei,actinomorphic,stephens2021
Acacia merrallii,actinomorphic,stephens2021
Acacia midgleyi,actinomorphic,stephens2021
Acacia mimica,actinomorphic,stephens2021
Acacia mimula,actinomorphic,stephens2021
Acacia mollifolia,actinomorphic,stephens2021
Acacia monticola,actinomorphic,stephens2021
Acacia mulganeura,actinomorphic,stephens2021
Acacia murrayana,actinomorphic,stephens2021
Acacia myrtifolia,actinomorphic,stephens2021
Acacia neurocarpa,actinomorphic,stephens2021
Acacia neurophylla,actinomorphic,stephens2021
Acacia nyssophylla,actinomorphic,stephens2021
Acacia obtusifolia,actinomorphic,stephens2021
Acacia oldfieldii,actinomorphic,stephens2021
Acacia oncinocarpa,actinomorphic,stephens2021
Acacia orthotricha,actinomorphic,stephens2021
Acacia oswaldii,actinomorphic,stephens2021
Acacia pachyacra,actinomorphic,stephens2021
Acacia papyrocarpa,actinomorphic,stephens2021
Acacia paradoxa,actinomorphic,stephens2021
Acacia paraneura,actinomorphic,stephens2021
Acacia penninervis,actinomorphic,stephens2021
Acacia phlebocarpa,actinomorphic,stephens2021
Acacia platycarpa,actinomorphic,stephens2021
Acacia plautella,actinomorphic,stephens2021
Acacia plectocarpa,actinomorphic,stephens2021
Acacia polystachya,actinomorphic,stephens2021
Acacia prainii,actinomorphic,stephens2021
Acacia pravifolia,actinomorphic,stephens2021
Acacia pruinocarpa,actinomorphic,stephens2021
Acacia pteraneura,actinomorphic,stephens2021
Acacia pulchella,actinomorphic,stephens2021
Acacia pustula,actinomorphic,stephens2021
Acacia pycnantha,actinomorphic,stephens2021
Acacia pyrifolia,actinomorphic,stephens2021
Acacia ramulosa,actinomorphic,stephens2021
Acacia resinimarginea,actinomorphic,stephens2021
Acacia rhodophloia,actinomorphic,stephens2021
Acacia rivalis,actinomorphic,stephens2021
Acacia rothii,actinomorphic,stephens2021
Acacia salicina,actinomorphic,stephens2021
Acacia saligna,actinomorphic,stephens2021
Acacia sclerosperma,actinomorphic,stephens2021
Acacia sericophylla,actinomorphic,stephens2021
Acacia sessilis,actinomorphic,stephens2021
Acacia shirleyi,actinomorphic,stephens2021
Acacia sibina,actinomorphic,stephens2021
Acacia sibirica,actinomorphic,stephens2021
Acacia simsii,actinomorphic,stephens2021
Acacia solenota,actinomorphic,stephens2021
Acacia sp. Mulga Holey Trunk (P.K.Latz 12458),actinomorphic,stephens2021
Acacia sp. Urandangie (L.Pedley 2025),actinomorphic,stephens2021
Acacia stellaticeps,actinomorphic,stephens2021
Acacia stenophylla,actinomorphic,stephens2021
Acacia stenoptera,actinomorphic,stephens2021
Acacia stereophylla,actinomorphic,stephens2021
Acacia stipuligera,actinomorphic,stephens2021
Acacia suaveolens,actinomorphic,stephens2021
Acacia subcontorta,actinomorphic,stephens2021
Acacia subternata,actinomorphic,stephens2021
Acacia synchronicia,actinomorphic,stephens2021
Acacia tarculensis,actinomorphic,stephens2021
Acacia tenuissima,actinomorphic,stephens2021
Acacia tephrina,actinomorphic,stephens2021
Acacia terminalis,actinomorphic,stephens2021
Acacia tetragonophylla,actinomorphic,stephens2021
Acacia thomasii,actinomorphic,2023TRY_350
Acacia thomsonii,actinomorphic,stephens2021
Acacia torringtonensis,actinomorphic,stephens2021
Acacia torulosa,actinomorphic,stephens2021
Acacia trachycarpa,actinomorphic,stephens2021
Acacia translucens,actinomorphic,stephens2021
Acacia triquetra,actinomorphic,stephens2021
Acacia tumida,actinomorphic,stephens2021
Acacia ulicifolia,actinomorphic,stephens2021
Acacia umbraculiformis,actinomorphic,stephens2021
Acacia uncifolia,actinomorphic,stephens2021
Acacia uncinella,actinomorphic,stephens2021
Acacia victoriae,actinomorphic,stephens2021
