individual,birthtime,deathtime,no_flowers,longevity_days,infloheight_m,habit,height_m,inflosize_cm,flowersperplant,budsperplant,florallength_cm,floraldiam_cm,colour,tube,no_carpels,no_ovules,no_stamens,species,site,latitude,longitude,symmetry
Phis04,2022-09-23T06:24:53Z,2022-09-29T21:40:39Z,8,6.63595920138889,0.2,shrub (woody plant branching from the base),0.45,6,25,70,0.6,2.5,white,absent,5,10,10,Philotheca hispidula,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Phis05,2022-09-26T04:52:57Z,2022-10-03T15:25:52Z,10,7.43952546296296,0.97,shrub (woody plant branching from the base),1.35,4,3,45,0.5,2.5,white,absent,5,10,10,Philotheca hispidula,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Plin01,2022-10-07T08:15:25Z,2022-10-10T08:12:29Z,10,2.99796412037203,0.45,shrub (woody plant branching from the base),0.55,2,10,100,2,0.7,white,present (at least at base),2,1,2,Pimelea linifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Plin02,2022-10-09T12:01:21Z,2022-10-12T09:30:30Z,20,2.89523958333389,0.64,shrub (woody plant branching from the base),0.65,2,12,85,1.5,0.8,white,present (at least at base),2,1,2,Pimelea linifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Plin03,2022-10-07T20:40:02Z,2022-10-10T22:49:15Z,14,3.0897337962963,0.32,shrub (woody plant branching from the base),0.46,1.8,20,100,1.5,0.8,white,present (at least at base),2,1,2,Pimelea linifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Plin04,2022-10-07T11:48:09Z,2022-10-10T21:31:39Z,17,3.4052076525048,0.26,shrub (woody plant branching from the base),0.35,2.2,40,100,1.7,0.7,white,present (at least at base),2,1,2,Pimelea linifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Plin05,2022-10-06T03:14:25Z,2022-10-11T08:30:02Z,10,5.21918287037147,0.36,shrub (woody plant branching from the base),0.5,1.8,25,140,1.5,0.7,white,present (at least at base),2,1,2,Pimelea linifolia,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Pphy03,2021-08-19T05:37:19Z,2021-08-25T08:20:17Z,20,6.11317245370536,1.15,shrub (woody plant branching from the base),1.32,2,10,180,1.5,0.9,yellow,present (at least at base),1,2,10,Phyllota phylicoides,"Murrua Trail, North Turramurra",-33.69307,151.1445,zygomorphic
Pphy04,2021-08-31T17:57:54Z,2021-09-05T04:16:28Z,2,4.42956018518518,0.75,shrub (woody plant branching from the base),1.05,2.5,0,250,1.5,1.5,yellow,present (at least at base),1,2,10,Phyllota phylicoides,"Murrua Trail, North Turramurra",-33.69307,151.1445,zygomorphic
Pphy06,2021-08-27T17:09:15Z,2021-09-02T15:52:16Z,35,5.94654431216971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phyllota phylicoides,"Murrua Trail, North Turramurra",-33.69307,151.1445,zygomorphic
Pphy07,2021-09-02T21:58:10Z,2021-09-05T04:22:33Z,22,2.26692603114578,1.05,shrub (woody plant branching from the base),1.15,4,1,250,1.1,1.1,yellow,present (at least at base),1,2,10,Phyllota phylicoides,"Murrua Trail, North Turramurra",-33.69307,151.1445,zygomorphic
Pphy08,2021-09-08T09:19:45Z,2021-09-10T22:03:53Z,15,2.53064737654395,1.1,shrub (woody plant branching from the base),1.15,2,40,150,1.3,0.9,yellow,present (at least at base),1,2,10,Phyllota phylicoides,"Murrua Trail, North Turramurra",-33.69307,151.1445,zygomorphic
Psca02,2022-09-18T13:26:38Z,2022-09-22T00:17:52Z,5,3.4522500000011,0.93,shrub (woody plant branching from the base),0.98,2.8,20,700,1.1,0.8,yellow,absent,1,2,10,Pultenaea scabra,"Sassafras Gully, Springwood",-33.702902,150.553083,zygomorphic
Psca03,2022-09-17T22:26:22Z,2022-09-20T20:24:30Z,5,2.91537731481371,0.47,shrub (woody plant branching from the base),0.52,2.5,15,200,1.1,1,yellow,absent,1,2,10,Pultenaea scabra,"Sassafras Gully, Springwood",-33.702902,150.553083,zygomorphic
Psca04,2022-09-23T17:43:34Z,2022-09-25T22:44:59Z,5,2.20932407407297,0.45,shrub (woody plant branching from the base),0.87,2.5,1,500,1,1.1,yellow,absent,1,2,10,Pultenaea scabra,"Sassafras Gully, Springwood",-33.702902,150.553083,zygomorphic
Psca05,2022-09-22T23:52:58Z,2022-09-26T06:06:07Z,11,3.25913299663475,0.63,shrub (woody plant branching from the base),1.26,2.2,50,1000,1.2,1,yellow,absent,1,2,10,Pultenaea scabra,"Sassafras Gully, Springwood",-33.702902,150.553083,zygomorphic
Psca06,2022-09-27T14:15:51Z,2022-09-30T13:32:26Z,4,2.96984085648148,0.23,shrub (woody plant branching from the base),0.48,2.2,22,500,1.3,1.4,yellow,absent,1,2,10,Pultenaea scabra,"Sassafras Gully, Springwood",-33.702902,150.553083,zygomorphic
Pser01,2022-10-17T05:54:49Z,2022-10-19T03:08:26Z,1,1.88445601851852,0.13,herb,0.13,4.5,1,0,4,4,purple,present (at least at base),3,30,3,Patersonia sericea,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Pser02,2022-10-18T12:07:59Z,2022-10-19T03:02:01Z,3,0.62085262345771,0.12,herb,0.17,5.5,1,2,4,4.5,purple,present (at least at base),3,30,3,Patersonia sericea,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Pser03,2022-10-17T21:06:39Z,2022-10-19T02:09:01Z,3,1.20996913580155,0.12,herb,0.16,5,2,8,4.5,4,purple,present (at least at base),3,30,3,Patersonia sericea,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Pser04,2022-10-18T04:49:22Z,2022-10-19T02:26:16Z,4,0.900619212962963,0.1,herb,0.16,4.5,2,0,4.5,4,purple,present (at least at base),3,30,3,Patersonia sericea,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Pser05,2022-10-17T07:21:53Z,2022-10-19T02:49:13Z,1,1.81064814814815,0.1,herb,0.11,4.5,1,0,4.5,4,purple,present (at least at base),3,30,3,Patersonia sericea,"Yondell Ave, Springwood",-33.717968,150.55742,actinomorphic (incl. rotational and spiral)
Pund01,2022-09-19T00:51:07Z,2022-09-23T16:19:04Z,10,4.64440856481592,2.05,"tree or tree-like (with a clear, main trunk)",6,5.5,800,200,1.1,1.3,white,present (at least at base),2,NA,5,Pittosporum undulatum,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Pund02,2022-09-17T15:27:27Z,2022-09-22T12:40:00Z,7,4.88371362433665,1.92,shrub (woody plant branching from the base),2.6,5,70,35,1.2,1.3,white,present (at least at base),2,NA,5,Pittosporum undulatum,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Pund03,2022-09-17T11:13:44Z,2022-09-23T10:39:47Z,6,5.97643132716141,2.02,shrub (woody plant branching from the base),3,5,120,50,1,1.1,white,present (at least at base),2,NA,5,Pittosporum undulatum,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Pund04,2022-09-18T00:43:02Z,2022-09-22T20:17:51Z,10,4.81583912037037,0.96,shrub (woody plant branching from the base),1.97,6,160,50,1.1,1.4,white,present (at least at base),2,NA,5,Pittosporum undulatum,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Pund05,2022-09-18T21:26:58Z,2022-09-24T03:45:39Z,5,5.26297222222167,1.64,shrub (woody plant branching from the base),3,5.4,19,7,1.2,1.4,white,present (at least at base),2,NA,5,Pittosporum undulatum,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Sgra01,2022-10-29T13:42:33Z,2022-11-08T14:04:35Z,22,10.0152982954543,0.89,herb,0.89,23,10,30,3,2.6,pink,present (at least at base),2,30,2,Stylidium graminifolium,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Sgra02,2022-10-31T05:15:17Z,2022-11-06T10:21:13Z,30,6.21244868827087,1.03,herb,1.03,23,11,60,3.4,2.4,pink,present (at least at base),2,30,2,Stylidium graminifolium,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Sgra03,2022-10-30T14:08:17Z,2022-11-04T21:53:13Z,22,5.32286616161466,0.81,herb,0.87,17,6,20,2.5,2.5,pink,present (at least at base),2,30,2,Stylidium graminifolium,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Sgra04,2022-10-27T00:49:44Z,2022-11-01T04:57:16Z,11,5.17189288720489,0.74,"herb, shrub (woody plant branching from the base)",0.83,14,3,60,2.5,2.3,pink,present (at least at base),2,30,2,Stylidium graminifolium,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Sgra05,2022-10-28T14:46:36Z,2022-11-02T19:39:48Z,10,5.20360879629574,0.73,herb,0.81,11,7,100,1.8,2.6,pink,present (at least at base),2,30,2,Stylidium graminifolium,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Sram01,2022-10-29T19:52:21Z,2022-11-05T04:30:59Z,3,6.36015817901051,0.04,herb,0.24,3.6,2,10,3,3.2,purple,absent,2,2,5,Scaevola ramosissima,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Sram03,2022-10-26T08:33:40Z,2022-10-30T05:14:05Z,4,3.86140335648148,0.02,herb,0.18,3,1,20,3,3.4,purple,absent,2,2,5,Scaevola ramosissima,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Sram04,2022-10-28T17:10:08Z,2022-11-04T10:21:42Z,4,6.71636284722222,0.1,herb,0.55,3.8,3,15,3.1,3.3,purple,absent,2,2,5,Scaevola ramosissima,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Sram05,2022-10-28T09:22:17Z,2022-11-02T04:43:54Z,5,4.80668055555335,0.04,herb,0.21,8,1,14,3.2,3.1,purple,absent,2,2,5,Scaevola ramosissima,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Sram06,2022-11-05T06:41:52Z,2022-11-20T03:35:02Z,1,14.8702546296296,0.12,herb,0.37,9,1,4,3.2,3.4,purple,absent,2,2,5,Scaevola ramosissima,"Yondell Ave, Springwood",-33.717968,150.55742,zygomorphic
Xpil01,2022-09-19T12:06:33Z,2022-09-27T16:31:22Z,3,8.18390046296296,0.14,"herb, shrub (woody plant branching from the base)",0.28,1.2,60,NA,0.5,0.4,"white, green",present (at least at base),2,2,5,Xanthosia pilosa,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Xpil02,2022-09-19T05:40:29Z,2022-09-26T13:50:39Z,2,7.34039930555556,0.09,"herb, shrub (woody plant branching from the base)",0.27,0.05,8,30,0.5,0.3,"white, green",present (at least at base),2,2,5,Xanthosia pilosa,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Xpil03,2022-09-21T00:00:25Z,2022-09-28T00:55:19Z,2,7.038125,0.1,shrub (woody plant branching from the base),0.28,0.5,20,20,0.5,0.3,"white, green",present (at least at base),2,2,5,Xanthosia pilosa,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Xpil04,2022-09-25T14:18:16Z,2022-10-01T20:34:36Z,4,6.26133969907407,0.14,shrub (woody plant branching from the base),0.22,0.5,100,100,0.5,0.3,"white, green",present (at least at base),2,2,5,Xanthosia pilosa,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
Xpil05,2022-09-23T15:52:10Z,2022-09-28T15:20:24Z,2,4.97793981481481,0.3,shrub (woody plant branching from the base),0.31,1.2,1,2,0.5,0.4,white,present (at least at base),2,2,5,Xanthosia pilosa,"Sassafras Gully, Springwood",-33.702902,150.553083,actinomorphic (incl. rotational and spiral)
